System,Utterance,Source,ref1,hyp
system2,0,"Selbst John hat Tina ignoriert.
","Even John Tina ignored.
","Even John Tina has ignored it.
"
system2,1,"Selbst John hat Tina ignoriert.
","Even John has ignored Julia.
","Even John Tina has ignored it.
"
system2,2,"Tim hat nur eine Tochter.
","Tim has only one daughter.
","Tim only has one daughter.
"
system2,3,"Wenigstens war der Vorsitzende nüchtern.
","At least the president was sober.
","At least the chairman was faithful.
"
system2,4,"Wenigstens war der Vorsitzende nüchtern.
","At least the chairman was sober.
","At least the president was sober.
"
system2,5,"Sarah hatte ihre Pizza bereits aufgegessen.
","sarah had already aufgegessen their pizza.
","Sarah had already finished her pizza.
"
system2,6,"Sarah hatte ihre Pizza bereits aufgegessen.
","Sarah had already forgotten her pizza.
","Sarah had already eaten up their pizza.
"
system2,7,"Ich kann dir frühestens Montag Bescheid geben.
","I can notify you at the earliest on Monday.
","I can inform you on Monday at the earliest.
"
system2,8,"Ich kann dir frühestens Montag Bescheid geben.
","I can let you know Monday at the earliest.
","I can tell you at the earliest on Monday.
"
system2,9,"Ich kann dir frühestens Montag Bescheid geben.
","I can tell you at the earliest on Monday.
","I can let you know no earlier than Monday.
"
system2,10,"Ich kann dir frühestens Montag Bescheid geben.
","I can inform you at the earliest Monday.
","I can let you know on Monday at the earliest.
"
system2,11,"Ich kann dir frühestens Montag Bescheid geben.
","I can let you know no earlier than Monday.
","I can let you know at the earliest Monday.
"
system2,12,"Ich kann dir frühestens Montag Bescheid geben.
","I can inform you no earlier than Monday.
","I can notify you at the earliest on Monday.
"
system2,13,"Ich kann dir frühestens Montag Bescheid geben.
","I can give you notice on Monday at the earliest.
","I can let you know no earlier than Monday.
"
system2,14,"Ich kann dir frühestens Montag Bescheid geben.
","I can inform you on Monday at the earliest.
","I can notify you at the earliest on Monday.
"
system2,15,"Ich kann dir frühestens Montag Bescheid geben.
","I can give you notice at the earliest on Monday.
","I'll let you know Monday at the earliest.
"
system2,16,"Lediglich Lena konnte nicht kommen.
","Only Lena couldn't make it.
","Only Lena could not come.
"
system2,17,"Bloß Lena konnte nicht kommen.
","Only Lena could not come.
","Only Lena couldn't come.
"
system2,18,"Bloß Lena konnte nicht kommen.
","Only Lena couldn't make it.
","Just Lena couldn't come.
"
system2,19,"Bloß Lena konnte nicht kommen.
","Only Lena couldn't come.
","Just Lena couldn't come.
"
system2,20,"Er hat nicht einmal ein Glas Wein getrunken.
","He has not even had a glass of wine.
","He did not even drink a glass of wine.
"
system2,21,"Er hat nicht einmal ein Glas Wein getrunken.
","He didn't even drink a glass of wine.
","he did not even have a glass of wine drunk.
"
system2,22,"Er hat nicht einmal ein Glas Wein getrunken.
","He did not even drink a glass of wine.
","He has not even drunk a glass of wine.
"
system2,23,"Er hat sogar vier Flaschen Wein getrunken.
","He's even drunk four bottles of wine.
","He even drunk four bottles of wine.
"
system2,24,"Auch ich liebe dich.
","I love you, too.
","I love you too.
"
system2,25,"Auch ich liebe dich.
","I love you too.
","I love you, too.
"
system2,26,"Auch ich liebe dich.
","I love you, too.
","I love you too.
"
system2,27,"Auch ich liebe dich.
","I love you, too.
","I love you too.
"
system2,28,"Auch ich liebe dich.
","I love you too.
","I love you, too.
"
