System,Utterance,Source,ref1,hyp
system2,0,"i know pretty much anything he has recorded, and not in one of them i hear him saying anything against women or homosexuals. hence your edit was bullshit.
","Ich kenne so ziemlich alles, was er aufgenommen hat, und in keinem davon höre ich ihn etwas gegen Frauen oder Homosexuelle sagen. Daher war deine Bearbeitung Schwachsinn.
","Ich weiß so ziemlich alles, was er aufgenommen hat, und nicht in einer von ihnen hört er etwas gegen Frauen oder Homosexuelle sagen.
"
system2,1,"Special note, for a special someone Fuck you, eat shit.
","Besondere Anmerkung, für eine besondere Person: Fick dich, friss Scheiße.
","Besondere Anmerkung, für einen besonderen jemanden, der dich fickt, Scheiße essen.
"
system2,2,"You can also go out and suck 500 dicks and suck your daddy's dick too                                                      amen
","Du kannst auch losziehen und 500 Schwänze lutschen und auch den Schwanz deines Vaters lutschen, amen.
","Sie können auch gehen und saugen 500 Schwänze und saugen Ihren Papa Schwanz zu amen
"
system2,3,"Yes. Harassment. That's a good one isn't it. Especially in light of the facts.
","Ja. Belästigung. Der ist gut, nicht wahr? Vor allem in Anbetracht der Fakten.
","Ja. Belästigung. Das ist gut, das ist es nicht.
"
system2,4,"Fuck you, I was curious as to who the actors played, and to read Cumberbatch is Khan is a total dick move. Fuck you. Fuck you. Fuck you!
","Leck mich, ich war neugierig, wen die Schauspieler spielten, und zu lesen, dass Cumberbatch Khan ist, ist ein totaler Scheißzug. Fick dich. Fick dich!
","Fuck you, ich war neugierig, wer die Schauspieler gespielt, und zu lesen, Cumberbatch is Khan ist ein total dick move. Fuck you. Fuck you. Fuck you!
"
system2,5,"hello moto hello flygayguy649 i hope u get a dick stuck up your ass i am a 13 year old kkk member. and i'll kick your ass so stay away and dont delete my pages. BITCH!!!
","Hallo moto, hallo flygayguy649. Ich hoffe, dass euch ein Schwanz in den Arsch gesteckt wird. Ich bin ein 13-jähriges KKK-Mitglied. Und ich werde euch in den Arsch treten, also haltet euch fern und löscht meine Seiten nicht. BITCH!!!
","Hallo moto hallo flygayguy649 Ich hoffe, du bekommst einen Schwanz in deinen Arsch gesteckt Ich bin ein 13 Jahre altes kkk-Mitglied. Und ich werde deinen Arsch treten, also bleib weg und lösche meine Seiten nicht. Hündin!!!
"
system2,6,"How is that a personal attack? Granted I may be more intelligent the casual slobs who pass for intellect in your part of Ulster but I thought good old fashioned Ulster Wit was still alive and well, clearly no. A son of Heany you most certainly are not. <<IP>>
","Inwiefern ist das ein persönlicher Angriff? Zugegeben, ich bin vielleicht intelligenter als die lässigen Schlampen, die in deinem Teil von Ulster als Intellektuelle gelten, aber ich dachte, der gute altmodische Ulster-Humor sei immer noch lebendig und gut, eindeutig nein. Ein Sohn von Heany bist du ganz sicher nicht. <<IP>>
","Wie ist das ein persönlicher Angriff? Zugegeben, ich mag intelligenter die Gelegenheitsschlitze, die für Intellekt in Ihrem Teil von Ulster passieren, aber ich dachte, gute altmodische Ulster Wit war noch am Leben und gut, klar Nr. Ein Sohn von Heany sind Sie sicherlich nicht. < < IP > >
"
system2,7,"prominent member of Conservative Friends of Israel fingers crossed it doesn't count as trivia and original research, but i'd argue that he is named explicitly by the then leader of the tory party.
","Prominentes Mitglied der Konservativen Freunde Israels drückte die Daumen, dass es nicht als Belanglosigkeit und originelle Forschung zählt, aber ich würde argumentieren, dass er ausdrücklich vom damaligen Führer der Tory-Partei genannt wird.
","prominentes Mitglied der Conservative Friends of Israel Daumen drücken es nicht als Trivia und originelle Forschung zählen, aber ich würde argumentieren, dass er explizit von der damaligen Führer der Tory-Partei benannt.
"
system2,8,"come on fag report me!
","Komm schon, Schwuchtel, melde mich!
","kommen Sie auf fag berichten Sie mir!
"
system2,9,"Go eat shit Yes i think you should go eat shit, my comment was fully true and consisted of no false statements, so go eat shit you stupid useless piece of shit. Thank you )
","Geh und friss Scheiße. Ja, ich denke, du solltest Scheiße fressen gehen, meine Bemerkung war völlig richtig und bestand nicht aus falschen Aussagen, also geh Scheiße fressen, du dummes nutzloses Stück Scheiße. Ich danke dir.
","Geh Scheiße essen Ja, ich denke, du solltest Scheiße essen gehen, mein Kommentar war völlig wahr und bestand aus keinen falschen Aussagen, also geh Scheiße essen, du dummes nutzloses Stück Scheiße. Danke)
"
