System,Utterance,Source,ref1,hyp
GTCOM,0,"Uphononongo olupapashwe ngoLwesine kwimagazini yeSayensi luichaze ngokubakho kohlobo olutsha lwentaka kwisiqithi i-Ecuadorean Galápagos.
","Ucwaningo olushicilelwe ngoLwesine kumagazini weSayensi lubike ngokwakhiwa kwezinhlobo ezintsha zezinyoni eZiqhingini zase-Ecuadore eGalápagos.
","Ucwaningo olushicilelwe ngoLwesine kumagazini i-Science lichaze ngokubakhona kohlobo olusha lwenyoni esiqhingini sase-Ecuadorean Galápagos.
"
GTCOM,1,"Abaphandi beYunivesithi yasePrinceton eMelika kunye neUppsala University eSweden baxele ukuba oluhlobo lutsha luye lwavela kwizizukulwana nje ezibini, nangona bekukholelwa ukuba le nto ithatha ixesha elide, ngenxa yokuzala phakathi kweDarwin finch, Geospiza fortes, kunye necactus yabaphambukeli.
","Ubacwaningi abavela eNyuvesi yasePrinceton eMelika kanye naseNyuvesi yase-Uppsala eSweden babike ukuthi izidalwa ezintsha ziziphendukele ngezizukulwane ezimbili kuphela, nakuba lenqubo bekukholelwa ukuthi ithatha isikhathi eside, ngenxa yokuzalela phakathi kwezintaka zika-Darwin ezitholakala kuleyo ndawo kuphela, ama-Geospiza fortes, kanye nezintaka ze-cactus ezithuthele lapho, ama-Geospiza conirostris.
","Abaphenyi basePrinceton University e-United States nase-Uppsala University eSweden babika ukuthi lolu hlobo olusha lwavela ezizukulwaneni ezimbili nje, yize kwakucatshangwa ukuthi lokhu kungathatha isikhathi eside, ngenxa yokuzalanisa i-Darwin finch, i-Geospiza fortes, ne-cactus.
"
GTCOM,2,"Ingxoxo-mpikiswano yavuselelwa yimpikiswano malunga nenkcitho yokunceda kunye nolwakhiwo kwakhona kwiNkanyamba uKatrina; ezinye zezezimali ezigcinwe ngokuzonwabisa ziye zalibiza igama elithi ""Bush's New Orleans Deal.""
","Inkulumo-mpikiswano idalwe ukuphikisana ngokuchitha imali eningi yokusiza kanye nokwakha kabusha ngemva kokudlula kweSiphepho iKatrina; leyo abesikhwama sezwe abadla ngoludala abayibize sakudlala ngokuthi “Isivumelwano sikaHlathi sase-Orleans eNtsha.”
","Ingxoxo-mpikiswano yavuselelwa yizindleko zokusiza nokwakhiwa kabusha kweSiphepho uKatrina; ezinye zezezimali ezigcinwe ngokuzijabulisa bezilibiza igama elithi ""Deal Bush's New Orleans"".
"
GTCOM,3,"Ukugxekwa nguLiberal kumzamo wokwakha ngokutsha kugxile ekunikezelweni kweekhontrakthi zokwakha ngokutsha kubantu baseWashington abangaphakathi.
","Ukugxekwa okukhulu komzamo wokwakha kabusha kugxile ekuklomeliseni ukuvuselelwa kwezinkontileka ukuze baqonde ezangaphakathi zase-Washington.
","Ukugxekwa kweLiberal kumzamo wokwakha kabusha kugxile ekunikezeni izinkontileka zokwakha kabusha abantu abangaphakathi eWashington.
"
GTCOM,4,"Imidlalo iqale ngo-10: 00 ekuseni ngemozulu entle kwaye ngaphandle kwentsasa ebike yabanda yayeka ngokukhawuleza, ibilusuku oluhle lombhoxo wesi-7.
","Imidlalo iqale ngo-10:00 ekuseni ngesimo sezulu esihle futhi ngaphandle komkhemezelo waphakathi nasekuseni onyamalale ngokushesha, kwakuwusuku oluhle lomdlalo weragbhi edlalwa abantu abangu-7 uhlangothi ngalunye.
","Imidlalo iqale ngo-10:00 ekuseni isimo sezulu esihle futhi ngaphandle kwamakhaza abanda ngokushesha, bekuwusuku oluhle lwesi-7 lombhoxo.
"
GTCOM,5,"Abaphambili kule tonamente, uMzantsi Afrika uqale kakuhle xa besoyisa lula iZambiya engunamba 5 ngo-26 - 00.
","INingizimu Afrika esesikhundleni esiphezulu emqhudelwaneni iqale kahle lapho iwina ngo-26 -00 kalula lapho idlala neZambia esesikhundleni sesihlanu.
","Abaphambili kuleli tonamente, iNingizimu Afrika iqale kahle ngokunqoba kalula iZambiya engunamba 5 ngo-26-00.
"
GTCOM,6,"Ubonakala ngokucacileyo ukuba akakho sefomini kulo mdlalo ukunye neSouthern sisters, kodwa ke iSouth Africa iye yaphucula ngokuthe ngcembe njengoko ukhuphiswano luqhubeka.
","Ibukeka sengathi iyawukhohlwa umdlalo ngokumelene nodadewabo abangaseningizimu, iNingizimu Afrika nokho yaya ngokuya ithuthuka njengoba umncintiswano uqhubeka.
","Kubonakale ngokusobala ukuthi usefomini kulo mdlalo owodwa neSouthern sisters, kodwa iNingizimu Afrika isathuthuka ngokungaguquki njengoba lo mqhudelwano uqhubeka.
"
GTCOM,7,"Ukuzikhusela kwabo okuqeqeshekileyo, izakhono zokuphatha ibhola kunye nomsebenzi ogqwesileyo weqela ubenze bagqama kwaye kwacaca ukuba eli liqela eliza kubethwa.
","Isivikelo sabo esihlelekile, amakhono wokuphatha ibhola nokusebenzisana njengeqembu okuhle kwabenza bavelela futhi kwakucacile ukuthi bayiqembu elihamba phambili.
","Ukuzivikela kwabo ngobungcweti, amakhono okuphatha ibhola nokusebenza kwamaqembu kubenze bagqama futhi kwacaca ukuthi iqembu lizoshaywa.
"
GTCOM,8,"Umphumeleli wembasa yegolide yeOlimpiki bekufanele ukuba ibidada kwi-100m kunye ne-200m freestyle nakwimidlalo emithathu edluliselwe kwiMidlalo yeCommonwealth, kodwa ngenxa yezikhalazo zakhe ukomelela kwakhe bekuthandabuzekile.
","Lowo owathola indondo yegolide kuma-Olimpiki kwakumelwe ahlanganyele emcintiswaneni wokubhukude we-100m kanye ne-200m wokubhukuda nganoma iyiphi indlela futhi kunemidlalo yokunikezelana eMidlalweni yama-Commonwealth, kodwa ngenxa yokukhalaza kwakhe kuyasolwa ukuthi unamandla ngokomzimba.
","Lowo othole indondo yegolide kuma-Olympic bekufanele ngabe ubhukuda kwi-100m naku-200m freestyle nakwimidlalo emithathu edluliselwe kumaCommonwealth Games, kodwa ngenxa yezikhalazo zakhe amandla akhe abengabuzwa.
"
GTCOM,9,"Khange akwazi ukuthatha amachiza afunekayo ukoyisa iintlungu njengoko zivaliwe kwimidlalo.
","Akakwazanga ukuthatha imithi edingekayo yokulwisana nobuhlungu bakhe njengoba ingavunyelwe eMidlalweni.
","Khange akwazi ukuthatha imithi edingekayo ukunqoba izinhlungu njengoba bevaliwe emidlalweni.
"
