System,Utterance,Source,ref1,hyp
GTCOM,0,"Ama-Guarani bekuyiqembu lomdabu eliphawulekayo elinefa kulokho manje okuthiwa iMpumalanga Paraguay, baphila ngokuba abazingeli futhi bathola ukudla ngokulima.
","I Guaraní yayingawona maqela ayebalulekile emveli ehlala apho sithi ngoku kuse Eastern Paraguay ephila ubomi bokuzingela bekwasebenzisa ukulima ukuze baphile.
","AmaGuarani ayeliqela elidumileyo lomthonyama nelazuza ilifa ngoku eyiMpuma Paraguay, baphila ngokuba abazingeli kwaye bafumana ukutya ngokulima.
"
GTCOM,1,"Indawo yaseChaco bekuyikhaya lamanye amaqembu wezizwana zemdabu njengamaGuaycurú kanye namaPayaguá, ababephila ngokuzingela, ukubutha kanye nokudoba.
","Ummandla weeChaco wawulikhaya kumaqela ezizwe zomthonyama ezifana namaGuaycurú namaPayaguá, ezaziphila ngokuzingela, ngokuvuna nangokuloba.
","I-Chaco yayihlala kwamanye amaqela emveli afana neGuaycurú kunye nePayaguá, awayehlala ngokuzingela, ukubutha kunye nokuloba.
"
GTCOM,2,"Ngekhulu lama-16 leminyaka iParaguay, ngaphambili eyayibizwa ngokuthi ""Isifundazwe Esikhulukazi sama-Indie"", yaba khona ngenxa yokuhlangana kwabanqobi baseSpeyini namaqembu abantu bomdabu ngokuzalwa.
","Kwinkulungwane ye-16th iParaguay, eyayifudula ibizwa nge ""The Giant Province of the Indies"", yasungulwa ngenxa yokuhlaselwa kwabeyisi bamaSpanish kunye namaqela enzalelwane zalapho.
","Ngenkulungwane ye-16 iParaguay, ngaphambili eyayibizwa ngokuba yi-""Great Indie Province"", yaba khona ngenxa yokuhlangana kwabanqobi baseSpain kunye namaqela abantu lweenkobe ngokuzalwa.
"
GTCOM,3,"AbaseSpeyini baqala isikhathi sobukoloni esathatha amakhulu amathathu eminyaka.
","Ama-Spanish aqale ixesha lokuthathela kuwo amanye amazwe elithatha iinkulungwane ezintathu.
","I-Spanish yaqala ixesha lobukoloniyali elathatha amakhulu amathathu eminyaka.
"
GTCOM,4,"Kusukela ekusungulweni kwe Asunción ngo-1537, i-Paraguay yakwazi ukugcina isimo sayo sendabuko esikhulu kanye nobukhona bayo.
","Ukususela ekusekweni kweAsunción ngo-1537, iParaguay ikwazile ukugcina imveli yayo.
","Ukususela ekusungulweni kwe-Asunción kwi-1537, iParaguay ikwazile ukugcina isimo sayo semveli kunye nobukho bayo.
"
GTCOM,5,"I-Oyapock River Bridge ibhuloho eliphaswe ngamakhebula ensimbi. Liwelela uMfula i-Oyapock uhlanganisa amadolobha ase-Oiapque eBrazil kanye neSaint-Georges de I'Oyapock eFrench Guiana.
","Ibhulorho yoMlambo iOyapock yibhulorho ehlala intambo. Inqumla uMlambo iOyapock ukudibanisa izixeko zaseOiapoque eBrazil naseSaint-Georges de l'Oyapock eFrench Guiana.
","Ibhulorho yoMlambo iOyapock yibhulorho enentambo zentsimbi. Ngaphesheya koMlambo iOapock udibanisa iidolophu zaseOiapque eBrazil NaseSaint-Georges de I'Oyaptock eFrench Guiana.
"
GTCOM,6,"Imibhoshongo emibili iphakama ngamamitha angu-83, ingamamitha angu-378 ubude futhi inemigwaqo emibili engu-3.50 m ububanzi.
","Izakhiwo ezide ezibini zenyuka ukuya kuma kubude be 83 meters, iyi 378 meters ubude inendlela ezimbini ezingange 3.50 m ububanzi.
","Iinqaba ezimbini ziziimitha ezingama-83 ukuphakama, iimitha ezingama-378 ukuphakama kwaye zineendlela ezimbini ezibanzi ezingama-3.50 m.
"
GTCOM,7,"Isikhala sokuphakama esisalayo ngaphansi kwebhuloho singamamitha angu-15. Ukulakha kwaphela ngo-Agasti 2011, alivulwanga ukuze kuhambe izimoto kwaze kwaba uMashi 2017.
","Ukucaca okuflethi phantsi kwebhoro kuyi 15 meters. Ukwakhiwa kwagqitywa ngo August 2011 zange ivulelwe izithuthi kwade kwango March 2017.
","Ukuphakama okuseleyo okuseleyo phantsi kwebhulorho ziimitha ezili-15. Ulwakhiwo lwagqitywa ngo-Agasti 2011, lwalungavulelwanga ukugcwala kwabantu kude kube ngoMatshi 2017.
"
GTCOM,8,"Ibhuloho lihlelelwe ukusebenza ngokugcwele ngoSeptemba 2017, lapho izindawo zaseBrazil zokuhlola abangenayo kulindelwe ukuthi ziphele.
","Ibhulorho icwangciselwe ukuba isebenze ngokupheleleyo ngoSeptemba 2017, xa iindawo zokukhangela amasiko eBrazil kulindeleke ukuba zigqitywe.
","Ibhulorho ihlelelwe ukusebenza ngokupheleleyo ngoSeptemba 2017, apho iindawo zokuhlola zokufudukela eBrazil kulindelwe ukuba ziphele.
"
GTCOM,9,"Nakuba izilwane eziningi epaki zijwayele ukubona abantu, izilwane zasendle noma kunjalo aziphucukile futhi akumelwe zondliwe noma ziphazanyiswe.
","Nangona izilwanyana ezininzi kwipaki zikuqhelile ukubona abantu, ubomi basendle bobasendle yaye akufunekanga buphazanyiswe.
","Nangona izilwanyana ezininzi ezisepakini ziqhele ukubona abantu, izilwanyana zasendle zisaqhelekile kwaye akufuneki zondliwe okanye ziphazanyiswe.
"
GTCOM,10,"Ngokweziphathimandla zepaki, hlala okungenani amayadi/amamitha angu-100 kude namabhere kanye nezimpisi ezifana namanketshane futhi amayadi/amamitha angu-25 kude nezinye izilwane zasendle!
","Ngokwamagunya epaki, hlala ubuncinci iiyadi/iimitha ezili-100 kude neebhere neengcuka kunye neeyadi ezingama-25/iimitha kuzo zonke ezinye izilwanyana zasendle!
","Ngokwamagosa epaki, hlala ubuncinane iiyadi/iimitha ezili-100 kude kwiibhere neengcuka ezinjengeengcuka neeyadi ezingama-25 kude nezinye izilwanyana zasendle!
"
GTCOM,11,"Kungakhathaliseki ukuthi zibukeka zithobile kangakanani, izinyathi zaseMelika, ama-elk, ama-moose, amabhere, futhi cishe nazo zonke izilwane ezinkulu zingahlasela.
","Nokuba zingajongeka kanjani, inyathi, ielk, ixhama, iibhere, kwaye phantse zonke izilwanyana ezinkulu zingakuhlasela.
","Akunandaba nokuba zibonakala zithobile kangakanani, izinyathi zaseMelika, i-elk, ii-moose, ibhere, kwaye phantse zonke izilwanyana ezinkulu zingahlasela.
"
GTCOM,12,"Unyaka ngamunye, izivakashi eziningi ziyalimala ngenxa yokuthi azigcinanga ibanga elifanele. Lezi zilwane zinkulu, ezasendle, futhi zingaba ingozi, ngakho zinike isikhala sazo.
","Nyaka ngamnye, abakhenkethi bayonzakala kuba abagcini mgama ulungileeyo, Ezi zilwanyana zikhulu,zinoburhalarhume kwaye zinobungozi, ngoko ke zinikeni indawo yazo.
","Unyaka ngamnye, iindwendwe ezininzi ziyenzakala ngenxa yokuba zingakhange zigcine umgama ofanelekileyo. Ezi zilwanyana zinkulu, zasendle, kwaye zinokuba yingozi, ke zinike indawo.
"
GTCOM,13,"Ngaphezu kwalokho, phawula ukuthi iphunga libiza amabhere kanye nezinye izilwane zasendle, ngakho gwema ukuphatha noma ukupheka ukudla okunephunga futhi ugcine ikamu lihlanzekile.
","Ukongeza, lumka wazi ukuba amavumba ayawatsala amabhere nezinye izilwanyana zehlathi, ngoko kulumkele ukuphatha okanye ukupheka ukutya ugcine I nkampu icocekile.
","Ngaphezu koko, qaphela ukuba ivumba litsala iibhere kunye nezinye izilwanyana zasendle, ke thintela ukuphatha okanye ukupheka ukutya okunukayo kwaye ugcine IKAM icocekile.
"
GTCOM,14,"NgoSepthemba 17, 1939, amabutho avikelayo wasePoland wayehlaselwe kakade, futhi ukuphela kwethemba kwakuwukuhlehla nokuhlela kabusha eceleni kwesihloko saseRomaniya.
","Nge-17 kaSeptemba, 1939, amajoni asePoland ayesele esoyisiwe, kwaye ekuphela kwethemba yayikukurhoxa, enze uhlengahlengiso kwicala lebhulorho yaseRomania.
","NgoSeptemba 17, 1939, imikhosi yezokhuseleko yasePoland ihlaselwe sele, kwaye ukuphela kwethemba kwakuhlehla kunye nokucwangcisa kwakhona ecaleni kwesihloko saseRomania.
"
GTCOM,15,"Nokho, lezi zinhlelo zaphelelwa yisikhathi cishe ngobusuku obubodwa, lapho amasosha angaphezu kuka-800,000 asuka kuyiSoviet's Union Red Army engena akha amabutho waseBelarussia kanye ne-Ukraine ngemva kokuhlasela izindawo ezingasempumalanga zasePoland ephula Isivumelwano Sokuthula seRiga, i-Soveiet-Polish Non-Aggression Pact, kanye nezinye izivumelwane zamazwe onke zokuthula, kokubili zezizwe ezinxa-mbili kanye neziningi.
","Nangona kunjalo, ezi zicwangciso zenziwa zangasebenzi phantse ngobusuku nje, xa amajoni angaphezu kwe-800,000 evela eSoviet Union Red Army engena kwaye adala imida ye-Belarussian ne-Ukraine emva kokuhlasela imimandla esempuma yePoland esilwa neRiga Peace Treaty, iSoviet-Polish Non-Aggression Pact, kunye nezinye izivumelwano zamazwe aphesheya, zombini ezamazwe amabini kunye nezamazwe amaninzi.
","Nangona kunjalo, ezi zicwangciso zafikelela esiphelweni malunga nobusuku obunye, xa amajoni angaphezulu kwama-800,000 evela kwiSoviet Union Union Red Army ahlasela imikhosi yaseBelarussia neUkraine emva kokuhlasela empuma yePoland ngokwaphula isivumelwano seRiga Peace Treaty, iSoveiet-Polish Non-Aggression Pact., kunye nezinye izivumelwano zoxolo zamanye amazwe, zombini nezamazwe amaninzi.
"
GTCOM,16,"Amasafari mhlawumbe yinto enkulu kunazo zonke edonsa izivakashi e-Afrika futhi yinto ethandwa yizivakashi eziningi.
","I-Safari mhlawumbi yeyona itsala abakhenkethi kwi Africa nokuphawwuleka kwendwendwe ezininzi.
","I-Safari yeyona nto inomdla kubakhenkethi e-Afrika kwaye iyathandwa ngabakhenkethi abaninzi.
"
GTCOM,17,"Igama elithi safari ngokuvamile lisetshenziselwa ukubhekisela ohambweni lokunqamula izwe ukuze ubone izilwane zasendle ezihlaba umxhwele zase-Afrika, ikakhulukazi emathafeni.
","Igama elithi safari libhekisela ekuhambeni kwilizwe ukuze ubuke izilwanyana zasendle ezimangalisayo zaseAfrika, ingakumbi esavanna.
","Igama elithi safari lihlala lisetyenziselwa ukubhekisa kuhambo kwilizwe lonke ukubona izilwanyana zasendle ezinomdla zaseAfrika, ngakumbi emathafeni.
"
GTCOM,18,"Ezinye izilwane, njengezindlovu kanye nezindlulamithi, zithanda ukusondela ezimotweni futhi izinto zokubuka ezisezingeni elikahle zizokuvumela ukuthi uzibuke kahle.
","Ezinye izilwanyana ezifana neendlovu kunye neendlulamthi, zidla ngokusondela kakhulu kwiimoto yaye izixhobo eziqhelekileyo zingakwenza ukwazi ukubona kakuhle.
","Ezinye izilwanyana, ezifana neendlovu kunye neendlulamithi, zithanda ukusondela ezimotweni kunye nezinto zokubuka ezisemgangathweni ziya kukuvumela ukuba uzibuke kakuhle.
"
GTCOM,19,"Amabhubesi, izingulule kanye nezingwe ziyexwaya futhi uzozibona kangcono ngezingilazi zokubuka kude.
","Iingonyama, amahlosi, kunye nezingwe zidla ngokuba nentloni yaye iza kuzibona ngcono ngeebhaynotyhula.
","Iingonyama, izingwenkala, neengwe ziyalumka kwaye ziya kukubona ngcono ngeglasi yokukhulisa.
"
GTCOM,20,"Uhambo lokunqamula izwe lwezinyawo (olubuye lwaziwe ngokuthi ""ukuhamba ehlathini"", ""i-safari yokuhamba ngezinyawo"", noma ""ukukhenketha"") luhlanganisa uhambo olude lwezinyawo, kungaba amahora ambalwa noma izinsuku eziningana.
","Isafari ehambayo (ekwabizwa ngokuba “ukuhamba emahlathini”, “isafari enyukayo”, okanye ukuhamba “ngeenyawo”) kuquka ukuhamba imigama emide, mhlawumbi iiyure ezimbalwa okanye iintsuku eziliqela.
","Uhambo ukususela kwiNkomfa ERLC phezu yeVangeli noXolelwaniso Racial. Ngasezantsi ngqangi kuloo umyalezo. Ngoku kuhlwa, Bendikhe wacelwa ukuba bathethe malunga millennials noxolelwano ngokobuhlanga.
"
GTCOM,21,"I-İzmir iyidolobha lesithathu ngobukhulu e-Turkey elinabantu abangaba izigidi ezingu-3.7, isikhungo esikhulu sesibili ngemva kwe –Istanbul, okuyindawo enezokuthutha ezikahle.
","İzmir sisixeko sesithathu ubukhulu e-Turkey esinabantu aba ku 3.7 yezigidi, sine zibuko lesibini ubukhulu emva kwe Instabul, kwakunye nezithuthi zikawonkewonke.
","I-zmir sisixeko sesithathu ngobukhulu eTurkey esinabemi abazizigidi ezi-3.7, iziko lesibini elikhulu emva kwe-Istanbul, nezothutho olufanelekileyo.
"
GTCOM,22,"Kuqala okwakuyidolobha laseSmirna, manje kuyisikhungo sokuhweba sesimanje, esithuthukile, kanye nesiphithizelayo, esisethekwini elikhulu futhi nesizungezwe izintaba.
","Yayikade isisixeko sakudala sase-Smyrna, ngoku yindawo yezoshishino yale mihla ephucukileyo nexakekileyo, engaselunxwemeni yaye ejikelezwe ziintaba.
","Uqala isixeko saseSmirna, ngoku kwiziko lokuthengisa ngoku, eliphuculweyo, kunye nesiphithizelayo, kwizibuko elikhulu kwaye lijikelezwe iintaba.
"
GTCOM,23,"Umgwaqo obanzi okakwe izihlahla, izakhiwe ezinezingilazi ezinkulu kanye nendawo nezikhungo zezitolo zinophahla olungokwesiko olubomvu, imakethe yangekhulu lama-18 leminyaka, kanye namathempeli namasonto, nakuba idolobha linomoya omningi weYurophu yaseMedithera kunaseTheki engokwesiko.
","Izitalato ezibanzi, izakhiwo ezineglasi ngaphambili kunye noobhaza-bhaza beevenkile zale mihla ezixhonywe ngeethayile ezibomvu eziqhelekileyo, imarike yenkulungwane ye-18, kunye neemoski neecawa ezindala, sekunjalo isixeko sinomoya ofana neYurophu engakwiMeditera kunokuba ifane ne-Turkey.
","Indlela ebanzi ejikelezwe yimithi, izakhiwo zeglasi ezinkulu kunye neevenkile ezinkulu zinophahla olubomvu lwesiqhelo, imakethi yenkulungwane ye-18, kunye neetempile kunye neecawe, nangona isixeko sinomoya omkhulu weMeditera kunePort yemveli.
"
