System,Utterance,Source,ref1,ref2,hyp
Online-B,0,"Novák pomohl Trabzonsporu k druhému místu, trefil se i Škoda
","Novák helped Trabzonspor to finish in second place, Škoda scored too
","Novák’s goal helped Trabzonspor claim second place; Škoda scored too
","Novák helped Trabzonspora to second place, Škoda also scored
"
Online-B,1,"Obránce Filip Novák pomohl gólem v posledním kole turecké fotbalové ligy Trabzonsporu k titulu vicemistra.
","Defender Filip Novák helped Trabzonspor to clinch the title of vice-champion by scoring in the last round of the Turkish football league.
","The Czech defender Filip Novák’s goal in the last round of the Turkish Football League helped Trabzonspor to the vice-champion title.
","Defender Filip Novák helped the Trabzonspor to score the vice-champion with a goal in the last round of the Turkish Football League.
"
Online-B,2,"Jeho tým zvítězil 2:1 na hřišti Kayserisporu a udržel za sebou třetí Besiktas.
","His team won 2:1 on Kayserispor pitch and hold behind Besiktas in the 3rd place.
","The team won 2-1 on Kayserispor’s home ground, leaving Beskitas behind on the third place.
","His team won 2: 1 on the Kayserispor field and kept the third Besiktas behind.
"
Online-B,3,"Útočník Milan Škoda dal po lednovém přestupu ze Slavie již desátou branku za Rizespor, který se zachránil, i když podlehl 1:3 na hřišti Fenerbahce.
","After his transfer from Slavia in January, striker Milan Škoda have scored his 10th goal for Rizespor that escaped although they had been beaten 1:3 on Fenerbahce pitch.
","Since his transfer from FC Slavia, the forward Milan Škoda has scored ten goals for Rizespor, which was saved from relegation despite losing 1-3 in an away match to Fenerbahce.
","After the January transfer from Slavia, the striker Milan Škoda scored the tenth goal for Rizespor, who escaped, even though he lost 1: 3 on the field of Fenerbahce.
"
Online-B,4,"Novák potvrdil na obránce výbornou produktivitu sedmým gólem v tomto ligovém ročníku.
","Novák confirmed his excellent striker productivity by scoring the 7th goal in this league season.
","Scoring his seventh goal in this year’s league, Novák reaffirmed his excellent productivity on the pitch.
","Novák confirmed excellent productivity on the defender with the seventh goal in this league year.
"
Online-B,5,"V 63. minutě gólman Kayserisporu jen vyrazil prudkou střelu a český fotbalista z úhlu napálil míč do sítě.
","In the 63th minute, the Kayserispor goalman only striked fiercely and the Czech football player scored a goal from an angle.
","As soon as Kayserispor’s goalkeeper kicked off the ball in the 63rd minute, the Czech football player shot it right into the goal from the corner.
","63 minutes into the match, Kayserisporu came through the middle and almost added to his team's lead, but the shot went wide.
"
Online-B,6,"Domácím se povedlo pět minut před koncem vyrovnat, ale Trabzonspor v šesté minutě nastavení strhl vítězství na svou stranu, když úspěšně zakončil brejk čtyři na jednoho.
","The home team managed to equalize 5 minutes before the end of the match, but Trabzonspor pulled off victory in the 6th minute of the additional time, when successfully finishing a four-on-one break.
","The home team managed to even the score five minutes before the end of the match, but Trabzonspor secured its victory in the sixth minute of the additional time, capitalizing on a four-to-one break.
","The home team managed to equalize five minutes before the end, but Trabzonspor pulled the victory to his side in the sixth minute of the setting, when he successfully finished a four-on-one break.
"
Online-B,7,"Škoda v úvodu druhého poločasu utkání s Fenerbahce vyrovnal po sólu na 1:1.
","Škoda equalised to 1:1 after a solo run at the beginning of the second half-time of the match against Fenerbahce.
","At the start of the second half of the match against Fenerbahce, Škoda’s solo effort evened the score at 1-1.
","The damage in the beginning of the second half of the match with Fenerbahce equalized after the solo to 1: 1.
"
Online-B,8,"Rizespor sice nerozhodný stav dlouho neudržel, ale mrzet ho to nemuselo, neboť díky výsledkům soupeřů za sebou zůstal tři body nad sestupovým pásmem.
","Rizespor did not held the tie game for a long time but they did not have to feel annoyed as, due to the opponents' results, they left behind 3 points over the relegation zone.
","Although Rizebospor failed to hold the draw for much longer, they didn’t have to feel too bad about it, since the results of their opponents left the club sitting three points above the drop zone.
","Rizespor did not keep the tie for a long time, but he did not have to regret it, because thanks to the results of the opponents, he remained three points above the descent zone.
"
Online-B,9,"Soutěž zakončí nedělní duel mistrovského Basaksehiru na hřišti Kasimpasy.
","The competition will be finished by Sunday's duel of Basaksehir champion on Kasimpasa pitch.
","The competition will be concluded on Sunday, with Kasimpasa hosting the champion Basaksehir on its pitch.
","The competition will end with Sunday's duel of the champion Basaksehir on the Kasimpasy field.
"
Online-B,10,"Dobře utajená Jeskyně u poustevníka v lesích u Nového Boru ve skutečnosti nebyla obyvatelná
","Well-hidden Hermit's Cave in forests at Nový Bor was not habitable in fact
","The well-hidden Hermit’s Cave near the Czech town of Nový Bor wasn’t inhabited after all
","The well-hidden Hermit's Cave in the forests near Nový Bor was not really habitable
"
