System,Utterance,Source,ref1,hyp
Allegro.eu,0,"Hrópað á heiminn
","Screaming at the world
","Creeping on the world
"
Allegro.eu,1,"Markaðsherferðin Looks Like You Need Iceland þykir hafa farið vel af stað og hróp og köll úti í náttúrunni eru farin að toga í fólk vítt og breitt um heiminn.
","The marketing campaign Looks Like You Need Iceland is considered to have gone off to a good start, and screaming and yelling in nature is beginning to pull in people all over the world.
","The market campaign Looks Like You Need Iceland seems to have gone well and shouting and calling out in nature are beginning to pull people wide and wide around the world.
"
Allegro.eu,2,"„Þið eigið kollgátuna, ég þarfnast Íslands,“ segir kona nokkur úti í hinum stóra heimi í athugasemdum við auglýsingu úr markaðsherferðinni Looks Like You Need Iceland á efnisveitunni YouTube.
","""You're right, I need Iceland,"" says a woman somewhere in the world in the comments for an advertisement from the Looks Like You Need Iceland marketing campaign on YouTube.
","""You have the headline, I need Iceland,"" says a woman outside the big world in comments on an ad from the marketing campaign Looks Like You Need Iceland on YouTube.
"
Allegro.eu,3,"Annar áhorfandi kveðst munu varðveita Ísland í hjarta sér um alla eilífð og ung kona segist beinlínis verða að komast sem fyrst til Íslands enda sé unnusti hennar búsettur þar.
","Another viewer says they will keep Iceland in their heart for all eternity, and a young woman says she literally has to get to Iceland as soon as possible as her fiancé resides there.
","Another viewer says he will preserve Iceland in his heart for all eternity, and a young woman says she must come as soon as possible to Iceland, as her fiancée resides there.
"
Allegro.eu,4,"Til allrar óhamingju er hún hins vegar í Bandaríkjunum og gerir því ráð fyrir að þurfa að bíða í einhverja mánuði enn.
","Unfortunately, she's in the United States so she expects to have to wait for another few months.
","For all the unhappiness, however, she is in the United States and therefore expects to have to wait for some more months.
"
Allegro.eu,5,"Enn einn áhorfandi spyr hvort gönguleiðin til Íslands sé fær, því engar séu flugvélarnar.
","Yet another viewer asks whether the walking route to Iceland is clear, because there are no aeroplanes.
","Yet one viewer asks if the hiking trail to Iceland is capable, because there are no planes.
"
Allegro.eu,6,"Ekki fylgir sögunni hvort hann kemur úr öðru tímabelti.
","It is left unsaid whether this person is from another time zone.
","The story does not follow whether he comes from another time zone.
"
Allegro.eu,7,"Egill Þórðarson hjá auglýsingastofunni Peel, sem kom að gerð auglýsinganna ásamt alþjóðlegu auglýsingastofunni M&C Saatchi, segir viðtökur hafa verið vonum framar.
","Egill Þórðarson at the advertising agency Peel, who was involved in making the advertisements along with the international advertising agency M&C Saatchi, says that the response has exceeded all expectations.
","Egill Þórðarson at the Peel advertising agency, who came to the making of the ads along with the international advertising agency M&C Saatchi, says receipts have been hoped more.
"
Allegro.eu,8,"„Ég kom að mörgum Inspired By Iceland-herferðum sem gengið hafa mjög vel en þessi nýja herferð er þegar farin að slá met.
","""I was involved in many Inspired by Iceland campaigns that have been very successful but this new campaign is already breaking records.
","""I came to many Inspired By Iceland campaigns that have been successful, but this new campaign is already starting to hit a record.
"
Allegro.eu,9,"Í grunninn snýst þetta um að búa til PR-gildi, það er að fá erlenda fjölmiðla til að fjalla um herferðina, og það hefur gengið ótrúlega vel.
","This basically revolves around creating PR value, that is to get foreign media to cover the campaign, and that has been incredibly successful.
","In the base, this is about creating PR values, it is getting foreign media to address the campaign, and it has gone incredibly well.
"
