System,Utterance,Source,ref1,hyp
metricsystem2,0,"I work on helping computers communicate about the world around us.
","Моя работа — помогать компьютерам  делать сообщения об окружающем мире.
","Я работаю над тем, чтобы помочь компьютерам общаться с окружающим миром.
"
metricsystem2,1,"There are a lot of ways to do this, and I like to focus on helping computers to talk about what they see and understand.
","Есть много способов сделать это, но мне нравится помогать компьютерам рассказывать о том,  что они видят и понимают.
","Есть много способов сделать это, и мне нравится сосредотачиваться на том, чтобы помочь компьютерам рассказать о том, что они видят и понимают.
"
metricsystem2,2,"Given a scene like this, a modern computer-vision algorithm can tell you that there's a woman and there's a dog.
","Например, на этой картинке современный алгоритм компьютерного зрения может распознать, что это — женщина, а это — собака.
","В такой сцене современный алгоритм компьютерного зрения может сказать вам, что есть женщина и есть собака.
"
metricsystem2,3,"It can tell you that the woman is smiling.
","Он может сказать, что женщина улыбается.
","Он может сказать вам, что женщина улыбается.
"
metricsystem2,4,"It might even be able to tell you that the dog is incredibly cute.
","Он даже способен сказать,  что собака необыкновенно милая.
","Он может даже сказать вам, что собака невероятно милая.
"
metricsystem2,5,"I work on this problem thinking about how humans understand and process the world.
","Я работаю над этим, думая о том, как люди понимают и обрабатывают данные о мире.
","Я работаю над этой проблемой, думая о том, как люди понимают и обрабатывают мир.
"
metricsystem2,6,"The thoughts, memories and stories that a scene like this might evoke for humans.
","Какие мысли, воспоминания и истории может пробуждать в людях такая вот картинка.
","Мысли, воспоминания и истории, которые может вызвать у людей подобная сцена.
"
metricsystem2,7,"All the interconnections of related situations.
","Всё, что связано с подобными ситуациями.
","Все взаимосвязи связанных ситуаций.
"
metricsystem2,8,"Maybe you've seen a dog like this one before, or you've spent time running on a beach like this one, and that further evokes thoughts and memories of a past vacation, past times to the beach, times spent running around with other dogs.
","Возможно, вы видели похожую собаку раньше или проводили время,  так же бегая по пляжу, и это, в свою очередь, вызывает мысли и воспоминания о прошедшем отпуске, о времени, проведённом на пляже, или времени, когда вы бегали где-то с другими собаками.
","Может быть, вы видели такую собаку раньше, или вы проводили время, бегая по пляжу, подобному этому, и это еще больше пробуждает мысли и воспоминания о прошлом отпуске, прошлых посещениях пляжа, времени, проведенном в бегах с другими собаками.
"
metricsystem2,9,"One of my guiding principles is that by helping computers to understand what it's like to have these experiences, to understand what we share and believe and feel, then we're in a great position to start evolving computer technology in a way that's complementary with our own experiences.
","Один из моих главных принципов — это помочь компьютерам понять, что значит иметь подобный опыт, понять, чем мы делимся,  во что верим и что чувствуем, потому что тогда мы будем готовы начать вовлекать компьютерные технологии в процессы, дополняющие  наш собственный опыт.
","Один из моих руководящих принципов заключается в том, что, помогая компьютерам понять, на что это похоже, получить этот опыт, понять, что мы разделяем, во что верим и что чувствуем, мы имеем прекрасную возможность начать развитие компьютерных технологий таким образом, чтобы это дополняло наш собственный опыт.
"
metricsystem2,10,"So, digging more deeply into this, a few years ago I began working on helping computers to generate human-like stories from sequences of images.
","Если копнуть глубже, несколько лет назад я начала помогать компьютерам писать рассказы на основе серии изображений.
","Итак, углубившись в это, несколько лет назад я начал работать над тем, чтобы помогать компьютерам создавать истории, похожие на человеческие, из последовательностей изображений.
"
metricsystem2,11,"So, one day, I was working with my computer to ask it what it thought about a trip to Australia.
","И однажды в ходе работы я спросила компьютер,  что он думает о поездке в Австралию.
","Итак, однажды я работал со своим компьютером, чтобы спросить его, что он думает о поездке в Австралию.
"
metricsystem2,12,"It took a look at the pictures, and it saw a koala.
","Он взглянул на картинки и увидел коалу.
","Он посмотрел на фотографии и увидел коалу.
"
