segment	document
1	doc_99
2	doc_99
1	doc_17
2	doc_17
1	doc_45
2	doc_45
3	doc_45
4	doc_45
1	doc_93
2	doc_93
1	doc_123
2	doc_123
3	doc_123
4	doc_123
1	doc_97
2	doc_97
1	doc_61
2	doc_61
3	doc_61
1	doc_5
2	doc_5
3	doc_5
1	doc_139
2	doc_139
3	doc_139
4	doc_139
5	doc_139
1	doc_35
2	doc_35
3	doc_35
4	doc_35
5	doc_35
1	doc_34
2	doc_34
3	doc_34
4	doc_34
5	doc_34
1	doc_116
2	doc_116
3	doc_116
1	doc_85
2	doc_85
3	doc_85
1	doc_27
2	doc_27
3	doc_27
1	doc_138
2	doc_138
3	doc_138
1	doc_55
2	doc_55
1	doc_50
2	doc_50
3	doc_50
4	doc_50
1	doc_53
2	doc_53
3	doc_53
1	doc_87
2	doc_87
3	doc_87
4	doc_87
1	doc_64
2	doc_64
3	doc_64
4	doc_64
5	doc_64
1	doc_66
2	doc_66
3	doc_66
1	doc_7
2	doc_7
3	doc_7
1	doc_28
2	doc_28
3	doc_28
4	doc_28
5	doc_28
1	doc_58
2	doc_58
3	doc_58
4	doc_58
1	doc_54
2	doc_54
3	doc_54
1	doc_112
2	doc_112
3	doc_112
4	doc_112
1	doc_48
2	doc_48
3	doc_48
4	doc_48
5	doc_48
1	doc_67
2	doc_67
3	doc_67
4	doc_67
5	doc_67
6	doc_67
1	doc_60
2	doc_60
3	doc_60
4	doc_60
5	doc_60
1	doc_115
2	doc_115
3	doc_115
4	doc_115
1	doc_144
2	doc_144
3	doc_144
4	doc_144
1	doc_13
2	doc_13
1	doc_57
2	doc_57
3	doc_57
4	doc_57
1	doc_114
2	doc_114
3	doc_114
4	doc_114
5	doc_114
1	doc_12
2	doc_12
3	doc_12
1	doc_46
2	doc_46
1	doc_63
2	doc_63
3	doc_63
1	doc_143
2	doc_143
3	doc_143
1	doc_108
2	doc_108
3	doc_108
1	doc_42
2	doc_42
1	doc_100
2	doc_100
3	doc_100
1	doc_129
2	doc_129
1	doc_120
2	doc_120
3	doc_120
4	doc_120
1	doc_106
2	doc_106
3	doc_106
1	doc_88
2	doc_88
3	doc_88
1	doc_84
2	doc_84
