segment	document
1	doc_211
2	doc_211
3	doc_211
4	doc_211
5	doc_211
1	doc_210
2	doc_210
3	doc_210
4	doc_210
1	doc_215
2	doc_215
3	doc_215
4	doc_215
5	doc_215
1	doc_156
2	doc_156
1	doc_225
2	doc_225
3	doc_225
4	doc_225
5	doc_225
1	doc_260
2	doc_260
3	doc_260
1	doc_188
2	doc_188
3	doc_188
4	doc_188
1	doc_200
2	doc_200
3	doc_200
4	doc_200
5	doc_200
1	doc_249
2	doc_249
3	doc_249
4	doc_249
5	doc_249
1	doc_279
2	doc_279
1	doc_271
2	doc_271
1	doc_238
2	doc_238
3	doc_238
4	doc_238
1	doc_214
2	doc_214
3	doc_214
4	doc_214
1	doc_153
2	doc_153
3	doc_153
1	doc_167
2	doc_167
3	doc_167
1	doc_243
2	doc_243
3	doc_243
4	doc_243
5	doc_243
1	doc_223
2	doc_223
3	doc_223
1	doc_180
2	doc_180
3	doc_180
4	doc_180
1	doc_168
2	doc_168
3	doc_168
1	doc_185
2	doc_185
1	doc_236
2	doc_236
1	doc_283
2	doc_283
3	doc_283
4	doc_283
1	doc_145
2	doc_145
3	doc_145
4	doc_145
5	doc_145
1	doc_173
2	doc_173
1	doc_275
2	doc_275
1	doc_176
2	doc_176
3	doc_176
1	doc_219
2	doc_219
3	doc_219
4	doc_219
5	doc_219
1	doc_201
2	doc_201
3	doc_201
1	doc_262
2	doc_262
3	doc_262
1	doc_267
2	doc_267
3	doc_267
4	doc_267
1	doc_265
2	doc_265
3	doc_265
1	doc_206
2	doc_206
1	doc_197
2	doc_197
3	doc_197
1	doc_162
2	doc_162
3	doc_162
4	doc_162
5	doc_162
1	doc_244
2	doc_244
3	doc_244
4	doc_244
5	doc_244
1	doc_190
2	doc_190
3	doc_190
4	doc_190
5	doc_190
1	doc_161
2	doc_161
3	doc_161
1	doc_175
2	doc_175
3	doc_175
1	doc_182
2	doc_182
3	doc_182
4	doc_182
1	doc_198
2	doc_198
1	doc_179
2	doc_179
3	doc_179
1	doc_159
2	doc_159
3	doc_159
4	doc_159
5	doc_159
1	doc_227
2	doc_227
3	doc_227
1	doc_218
2	doc_218
3	doc_218
4	doc_218
5	doc_218
1	doc_213
2	doc_213
3	doc_213
4	doc_213
5	doc_213
1	doc_208
2	doc_208
3	doc_208
4	doc_208
5	doc_208
1	doc_277
2	doc_277
1	doc_192
2	doc_192
3	doc_192
4	doc_192
5	doc_192
1	doc_252
2	doc_252
3	doc_252
4	doc_252
1	doc_202
2	doc_202
1	doc_199
2	doc_199
3	doc_199
4	doc_199
5	doc_199
1	doc_246
2	doc_246
3	doc_246
4	doc_246
5	doc_246
1	doc_196
2	doc_196
3	doc_196
4	doc_196
5	doc_196
1	doc_228
2	doc_228
3	doc_228
1	doc_204
2	doc_204
3	doc_204
4	doc_204
5	doc_204
1	doc_151
2	doc_151
3	doc_151
4	doc_151
5	doc_151
1	doc_276
2	doc_276
1	doc_152
2	doc_152
3	doc_152
4	doc_152
1	doc_233
2	doc_233
3	doc_233
1	doc_164
2	doc_164
1	doc_224
2	doc_224
3	doc_224
4	doc_224
5	doc_224
1	doc_148
2	doc_148
3	doc_148
4	doc_148
1	doc_268
2	doc_268
1	doc_170
2	doc_170
3	doc_170
1	doc_261
2	doc_261
3	doc_261
1	doc_264
2	doc_264
3	doc_264
4	doc_264
1	doc_250
2	doc_250
3	doc_250
1	doc_237
2	doc_237
3	doc_237
4	doc_237
1	doc_158
2	doc_158
3	doc_158
1	doc_234
2	doc_234
3	doc_234
1	doc_258
2	doc_258
3	doc_258
4	doc_258
1	doc_169
2	doc_169
1	doc_157
2	doc_157
3	doc_157
4	doc_157
5	doc_157
1	doc_253
2	doc_253
3	doc_253
4	doc_253
1	doc_222
2	doc_222
1	doc_281
2	doc_281
3	doc_281
1	doc_205
2	doc_205
3	doc_205
1	doc_147
2	doc_147
3	doc_147
4	doc_147
5	doc_147
1	doc_235
2	doc_235
3	doc_235
4	doc_235
5	doc_235
1	doc_256
2	doc_256
3	doc_256
1	doc_270
2	doc_270
3	doc_270
1	doc_282
2	doc_282
3	doc_282
1	doc_251
2	doc_251
3	doc_251
1	doc_273
2	doc_273
3	doc_273
1	doc_209
2	doc_209
3	doc_209
4	doc_209
1	doc_149
2	doc_149
3	doc_149
4	doc_149
1	doc_178
2	doc_178
3	doc_178
4	doc_178
1	doc_177
2	doc_177
3	doc_177
4	doc_177
5	doc_177
1	doc_172
2	doc_172
3	doc_172
1	doc_174
2	doc_174
3	doc_174
1	doc_165
2	doc_165
3	doc_165
1	doc_241
2	doc_241
3	doc_241
1	doc_266
2	doc_266
3	doc_266
4	doc_266
1	doc_191
2	doc_191
3	doc_191
4	doc_191
5	doc_191
1	doc_230
2	doc_230
1	doc_220
2	doc_220
3	doc_220
4	doc_220
5	doc_220
1	doc_274
2	doc_274
3	doc_274
1	doc_254
2	doc_254
3	doc_254
4	doc_254
5	doc_254
1	doc_187
2	doc_187
3	doc_187
1	doc_242
1	doc_232
2	doc_232
3	doc_232
4	doc_232
1	doc_263
2	doc_263
3	doc_263
4	doc_263
1	doc_195
2	doc_195
3	doc_195
4	doc_195
1	doc_269
2	doc_269
3	doc_269
1	doc_183
2	doc_183
3	doc_183
1	doc_160
2	doc_160
3	doc_160
1	doc_155
2	doc_155
3	doc_155
1	doc_154
2	doc_154
3	doc_154
4	doc_154
1	doc_255
2	doc_255
3	doc_255
4	doc_255
1	doc_184
2	doc_184
3	doc_184
1	doc_166
2	doc_166
3	doc_166
1	doc_229
2	doc_229
3	doc_229
1	doc_181
2	doc_181
1	doc_247
2	doc_247
3	doc_247
4	doc_247
5	doc_247
1	doc_226
2	doc_226
3	doc_226
4	doc_226
5	doc_226
1	doc_189
2	doc_189
3	doc_189
4	doc_189
1	doc_193
2	doc_193
3	doc_193
4	doc_193
5	doc_193
1	doc_216
2	doc_216
3	doc_216
4	doc_216
5	doc_216
1	doc_217
2	doc_217
3	doc_217
4	doc_217
5	doc_217
1	doc_163
2	doc_163
3	doc_163
4	doc_163
1	doc_171
2	doc_171
3	doc_171
1	doc_203
2	doc_203
3	doc_203
4	doc_203
5	doc_203
1	doc_280
2	doc_280
3	doc_280
1	doc_272
2	doc_272
1	doc_212
2	doc_212
3	doc_212
4	doc_212
1	doc_257
2	doc_257
3	doc_257
4	doc_257
1	doc_194
2	doc_194
3	doc_194
4	doc_194
5	doc_194
1	doc_248
2	doc_248
3	doc_248
4	doc_248
5	doc_248
1	doc_259
2	doc_259
3	doc_259
4	doc_259
5	doc_259
1	doc_231
2	doc_231
3	doc_231
4	doc_231
1	doc_278
2	doc_278
3	doc_278
1	doc_146
2	doc_146
3	doc_146
4	doc_146
1	doc_245
2	doc_245
3	doc_245
4	doc_245
5	doc_245
1	doc_239
2	doc_239
3	doc_239
4	doc_239
1	doc_221
2	doc_221
3	doc_221
4	doc_221
1	doc_207
2	doc_207
3	doc_207
4	doc_207
5	doc_207
1	doc_240
2	doc_240
3	doc_240
1	doc_186
2	doc_186
3	doc_186
4	doc_186
1	doc_150
2	doc_150
3	doc_150
