segment	document
1	halo_noviny-cs-01.3089
2	halo_noviny-cs-01.3089
3	halo_noviny-cs-01.3089
4	halo_noviny-cs-01.3089
5	halo_noviny-cs-01.3089
6	halo_noviny-cs-01.3089
7	halo_noviny-cs-01.3089
8	halo_noviny-cs-01.3089
9	halo_noviny-cs-01.3089
10	halo_noviny-cs-01.3089
1	cesky_rozhlas-cs.9834
2	cesky_rozhlas-cs.9834
3	cesky_rozhlas-cs.9834
4	cesky_rozhlas-cs.9834
5	cesky_rozhlas-cs.9834
6	cesky_rozhlas-cs.9834
7	cesky_rozhlas-cs.9834
8	cesky_rozhlas-cs.9834
9	cesky_rozhlas-cs.9834
10	cesky_rozhlas-cs.9834
11	cesky_rozhlas-cs.9834
12	cesky_rozhlas-cs.9834
13	cesky_rozhlas-cs.9834
14	cesky_rozhlas-cs.9834
15	cesky_rozhlas-cs.9834
16	cesky_rozhlas-cs.9834
17	cesky_rozhlas-cs.9834
18	cesky_rozhlas-cs.9834
19	cesky_rozhlas-cs.9834
20	cesky_rozhlas-cs.9834
21	cesky_rozhlas-cs.9834
1	lidovky.cz.258478
2	lidovky.cz.258478
3	lidovky.cz.258478
4	lidovky.cz.258478
5	lidovky.cz.258478
6	lidovky.cz.258478
7	lidovky.cz.258478
8	lidovky.cz.258478
9	lidovky.cz.258478
10	lidovky.cz.258478
11	lidovky.cz.258478
12	lidovky.cz.258478
1	aktualne-cs.9420
2	aktualne-cs.9420
3	aktualne-cs.9420
4	aktualne-cs.9420
5	aktualne-cs.9420
6	aktualne-cs.9420
7	aktualne-cs.9420
8	aktualne-cs.9420
9	aktualne-cs.9420
10	aktualne-cs.9420
11	aktualne-cs.9420
12	aktualne-cs.9420
1	denik.cz.222660
2	denik.cz.222660
3	denik.cz.222660
4	denik.cz.222660
5	denik.cz.222660
6	denik.cz.222660
7	denik.cz.222660
8	denik.cz.222660
9	denik.cz.222660
10	denik.cz.222660
11	denik.cz.222660
12	denik.cz.222660
13	denik.cz.222660
14	denik.cz.222660
15	denik.cz.222660
16	denik.cz.222660
17	denik.cz.222660
18	denik.cz.222660
19	denik.cz.222660
20	denik.cz.222660
21	denik.cz.222660
1	idnes.cz.436478
2	idnes.cz.436478
3	idnes.cz.436478
4	idnes.cz.436478
5	idnes.cz.436478
6	idnes.cz.436478
7	idnes.cz.436478
8	idnes.cz.436478
9	idnes.cz.436478
10	idnes.cz.436478
11	idnes.cz.436478
12	idnes.cz.436478
13	idnes.cz.436478
14	idnes.cz.436478
15	idnes.cz.436478
16	idnes.cz.436478
1	halo_noviny-cs-01.3081
2	halo_noviny-cs-01.3081
3	halo_noviny-cs-01.3081
4	halo_noviny-cs-01.3081
5	halo_noviny-cs-01.3081
6	halo_noviny-cs-01.3081
7	halo_noviny-cs-01.3081
8	halo_noviny-cs-01.3081
9	halo_noviny-cs-01.3081
10	halo_noviny-cs-01.3081
11	halo_noviny-cs-01.3081
12	halo_noviny-cs-01.3081
13	halo_noviny-cs-01.3081
14	halo_noviny-cs-01.3081
15	halo_noviny-cs-01.3081
16	halo_noviny-cs-01.3081
1	ceska_pozice-cs.12709
2	ceska_pozice-cs.12709
3	ceska_pozice-cs.12709
4	ceska_pozice-cs.12709
5	ceska_pozice-cs.12709
6	ceska_pozice-cs.12709
7	ceska_pozice-cs.12709
8	ceska_pozice-cs.12709
9	ceska_pozice-cs.12709
10	ceska_pozice-cs.12709
11	ceska_pozice-cs.12709
12	ceska_pozice-cs.12709
13	ceska_pozice-cs.12709
14	ceska_pozice-cs.12709
1	novinky.cz.151413
2	novinky.cz.151413
3	novinky.cz.151413
4	novinky.cz.151413
5	novinky.cz.151413
6	novinky.cz.151413
7	novinky.cz.151413
8	novinky.cz.151413
1	ceska_televize-cs.21876
2	ceska_televize-cs.21876
3	ceska_televize-cs.21876
4	ceska_televize-cs.21876
5	ceska_televize-cs.21876
6	ceska_televize-cs.21876
7	ceska_televize-cs.21876
8	ceska_televize-cs.21876
9	ceska_televize-cs.21876
10	ceska_televize-cs.21876
11	ceska_televize-cs.21876
1	tydenik_homer_mostecka-cs.782
2	tydenik_homer_mostecka-cs.782
3	tydenik_homer_mostecka-cs.782
4	tydenik_homer_mostecka-cs.782
5	tydenik_homer_mostecka-cs.782
6	tydenik_homer_mostecka-cs.782
7	tydenik_homer_mostecka-cs.782
8	tydenik_homer_mostecka-cs.782
9	tydenik_homer_mostecka-cs.782
10	tydenik_homer_mostecka-cs.782
11	tydenik_homer_mostecka-cs.782
12	tydenik_homer_mostecka-cs.782
13	tydenik_homer_mostecka-cs.782
1	mediafax.cz.21384
2	mediafax.cz.21384
3	mediafax.cz.21384
4	mediafax.cz.21384
5	mediafax.cz.21384
6	mediafax.cz.21384
7	mediafax.cz.21384
8	mediafax.cz.21384
9	mediafax.cz.21384
10	mediafax.cz.21384
11	mediafax.cz.21384
12	mediafax.cz.21384
13	mediafax.cz.21384
14	mediafax.cz.21384
15	mediafax.cz.21384
16	mediafax.cz.21384
17	mediafax.cz.21384
1	mediafax.cz.21387
2	mediafax.cz.21387
3	mediafax.cz.21387
4	mediafax.cz.21387
5	mediafax.cz.21387
6	mediafax.cz.21387
7	mediafax.cz.21387
8	mediafax.cz.21387
9	mediafax.cz.21387
10	mediafax.cz.21387
11	mediafax.cz.21387
12	mediafax.cz.21387
13	mediafax.cz.21387
14	mediafax.cz.21387
1	ct24-cs.26394
2	ct24-cs.26394
3	ct24-cs.26394
4	ct24-cs.26394
5	ct24-cs.26394
6	ct24-cs.26394
7	ct24-cs.26394
8	ct24-cs.26394
9	ct24-cs.26394
1	e15.cz.94865
2	e15.cz.94865
3	e15.cz.94865
4	e15.cz.94865
5	e15.cz.94865
6	e15.cz.94865
7	e15.cz.94865
8	e15.cz.94865
9	e15.cz.94865
10	e15.cz.94865
11	e15.cz.94865
12	e15.cz.94865
13	e15.cz.94865
14	e15.cz.94865
15	e15.cz.94865
16	e15.cz.94865
17	e15.cz.94865
18	e15.cz.94865
19	e15.cz.94865
20	e15.cz.94865
21	e15.cz.94865
22	e15.cz.94865
1	lidovky.cz.258549
2	lidovky.cz.258549
3	lidovky.cz.258549
4	lidovky.cz.258549
5	lidovky.cz.258549
6	lidovky.cz.258549
7	lidovky.cz.258549
8	lidovky.cz.258549
9	lidovky.cz.258549
10	lidovky.cz.258549
11	lidovky.cz.258549
12	lidovky.cz.258549
13	lidovky.cz.258549
14	lidovky.cz.258549
15	lidovky.cz.258549
16	lidovky.cz.258549
17	lidovky.cz.258549
18	lidovky.cz.258549
19	lidovky.cz.258549
