segment	document
1	schwaebische.de.113476
2	schwaebische.de.113476
3	schwaebische.de.113476
4	schwaebische.de.113476
5	schwaebische.de.113476
6	schwaebische.de.113476
7	schwaebische.de.113476
8	schwaebische.de.113476
9	schwaebische.de.113476
10	schwaebische.de.113476
11	schwaebische.de.113476
1	np-coburg.de.105627
2	np-coburg.de.105627
3	np-coburg.de.105627
4	np-coburg.de.105627
5	np-coburg.de.105627
6	np-coburg.de.105627
7	np-coburg.de.105627
8	np-coburg.de.105627
9	np-coburg.de.105627
10	np-coburg.de.105627
11	np-coburg.de.105627
12	np-coburg.de.105627
13	np-coburg.de.105627
14	np-coburg.de.105627
15	np-coburg.de.105627
16	np-coburg.de.105627
17	np-coburg.de.105627
1	abendzeitung-nuernberg.de.119238
2	abendzeitung-nuernberg.de.119238
3	abendzeitung-nuernberg.de.119238
4	abendzeitung-nuernberg.de.119238
5	abendzeitung-nuernberg.de.119238
6	abendzeitung-nuernberg.de.119238
7	abendzeitung-nuernberg.de.119238
8	abendzeitung-nuernberg.de.119238
9	abendzeitung-nuernberg.de.119238
10	abendzeitung-nuernberg.de.119238
11	abendzeitung-nuernberg.de.119238
12	abendzeitung-nuernberg.de.119238
1	landeszeitung.de.13223
2	landeszeitung.de.13223
3	landeszeitung.de.13223
4	landeszeitung.de.13223
5	landeszeitung.de.13223
6	landeszeitung.de.13223
7	landeszeitung.de.13223
8	landeszeitung.de.13223
9	landeszeitung.de.13223
10	landeszeitung.de.13223
11	landeszeitung.de.13223
12	landeszeitung.de.13223
13	landeszeitung.de.13223
1	bild.255016
2	bild.255016
3	bild.255016
4	bild.255016
5	bild.255016
6	bild.255016
7	bild.255016
8	bild.255016
9	bild.255016
10	bild.255016
11	bild.255016
12	bild.255016
1	np-coburg.de.105625
2	np-coburg.de.105625
3	np-coburg.de.105625
4	np-coburg.de.105625
5	np-coburg.de.105625
6	np-coburg.de.105625
7	np-coburg.de.105625
8	np-coburg.de.105625
9	np-coburg.de.105625
1	kurier.at.204625
2	kurier.at.204625
3	kurier.at.204625
4	kurier.at.204625
5	kurier.at.204625
6	kurier.at.204625
7	kurier.at.204625
8	kurier.at.204625
9	kurier.at.204625
10	kurier.at.204625
11	kurier.at.204625
12	kurier.at.204625
1	infranken.de.309597
2	infranken.de.309597
3	infranken.de.309597
4	infranken.de.309597
5	infranken.de.309597
6	infranken.de.309597
7	infranken.de.309597
8	infranken.de.309597
9	infranken.de.309597
10	infranken.de.309597
11	infranken.de.309597
12	infranken.de.309597
13	infranken.de.309597
14	infranken.de.309597
15	infranken.de.309597
16	infranken.de.309597
17	infranken.de.309597
18	infranken.de.309597
19	infranken.de.309597
20	infranken.de.309597
21	infranken.de.309597
1	faz.79601
2	faz.79601
3	faz.79601
4	faz.79601
5	faz.79601
6	faz.79601
7	faz.79601
8	faz.79601
9	faz.79601
10	faz.79601
11	faz.79601
12	faz.79601
13	faz.79601
14	faz.79601
15	faz.79601
16	faz.79601
17	faz.79601
18	faz.79601
19	faz.79601
20	faz.79601
21	faz.79601
22	faz.79601
23	faz.79601
24	faz.79601
25	faz.79601
26	faz.79601
27	faz.79601
28	faz.79601
29	faz.79601
1	infranken.de.309607
2	infranken.de.309607
3	infranken.de.309607
4	infranken.de.309607
5	infranken.de.309607
6	infranken.de.309607
7	infranken.de.309607
8	infranken.de.309607
9	infranken.de.309607
10	infranken.de.309607
11	infranken.de.309607
12	infranken.de.309607
13	infranken.de.309607
14	infranken.de.309607
15	infranken.de.309607
16	infranken.de.309607
17	infranken.de.309607
18	infranken.de.309607
19	infranken.de.309607
20	infranken.de.309607
21	infranken.de.309607
22	infranken.de.309607
23	infranken.de.309607
24	infranken.de.309607
1	morgenpost.de.276358
2	morgenpost.de.276358
3	morgenpost.de.276358
4	morgenpost.de.276358
5	morgenpost.de.276358
6	morgenpost.de.276358
7	morgenpost.de.276358
8	morgenpost.de.276358
9	morgenpost.de.276358
10	morgenpost.de.276358
11	morgenpost.de.276358
12	morgenpost.de.276358
13	morgenpost.de.276358
14	morgenpost.de.276358
15	morgenpost.de.276358
16	morgenpost.de.276358
17	morgenpost.de.276358
18	morgenpost.de.276358
19	morgenpost.de.276358
20	morgenpost.de.276358
1	mainpost.de.409271
