segment	document
1	salzburg.com.306606
2	salzburg.com.306606
3	salzburg.com.306606
4	salzburg.com.306606
5	salzburg.com.306606
6	salzburg.com.306606
7	salzburg.com.306606
8	salzburg.com.306606
9	salzburg.com.306606
10	salzburg.com.306606
11	salzburg.com.306606
12	salzburg.com.306606
13	salzburg.com.306606
1	faz.79579
2	faz.79579
3	faz.79579
4	faz.79579
5	faz.79579
6	faz.79579
7	faz.79579
8	faz.79579
9	faz.79579
10	faz.79579
11	faz.79579
1	kurier.at.204635
2	kurier.at.204635
3	kurier.at.204635
4	kurier.at.204635
5	kurier.at.204635
6	kurier.at.204635
7	kurier.at.204635
8	kurier.at.204635
9	kurier.at.204635
10	kurier.at.204635
11	kurier.at.204635
12	kurier.at.204635
13	kurier.at.204635
14	kurier.at.204635
15	kurier.at.204635
16	kurier.at.204635
17	kurier.at.204635
18	kurier.at.204635
19	kurier.at.204635
20	kurier.at.204635
21	kurier.at.204635
22	kurier.at.204635
23	kurier.at.204635
24	kurier.at.204635
1	sz.151403
2	sz.151403
3	sz.151403
4	sz.151403
5	sz.151403
6	sz.151403
7	sz.151403
8	sz.151403
9	sz.151403
10	sz.151403
11	sz.151403
12	sz.151403
13	sz.151403
14	sz.151403
15	sz.151403
16	sz.151403
17	sz.151403
18	sz.151403
19	sz.151403
20	sz.151403
21	sz.151403
22	sz.151403
23	sz.151403
24	sz.151403
25	sz.151403
26	sz.151403
27	sz.151403
1	kurier.at.204632
2	kurier.at.204632
3	kurier.at.204632
4	kurier.at.204632
5	kurier.at.204632
6	kurier.at.204632
7	kurier.at.204632
8	kurier.at.204632
9	kurier.at.204632
10	kurier.at.204632
11	kurier.at.204632
1	faz.79571
2	faz.79571
3	faz.79571
4	faz.79571
5	faz.79571
6	faz.79571
7	faz.79571
8	faz.79571
9	faz.79571
10	faz.79571
11	faz.79571
12	faz.79571
13	faz.79571
14	faz.79571
15	faz.79571
16	faz.79571
17	faz.79571
18	faz.79571
19	faz.79571
20	faz.79571
21	faz.79571
22	faz.79571
23	faz.79571
24	faz.79571
25	faz.79571
1	sz.151545
2	sz.151545
3	sz.151545
4	sz.151545
5	sz.151545
6	sz.151545
7	sz.151545
8	sz.151545
9	sz.151545
10	sz.151545
11	sz.151545
12	sz.151545
13	sz.151545
14	sz.151545
15	sz.151545
16	sz.151545
17	sz.151545
18	sz.151545
19	sz.151545
20	sz.151545
21	sz.151545
22	sz.151545
23	sz.151545
1	handelsblatt.com.292744
2	handelsblatt.com.292744
3	handelsblatt.com.292744
4	handelsblatt.com.292744
5	handelsblatt.com.292744
6	handelsblatt.com.292744
7	handelsblatt.com.292744
8	handelsblatt.com.292744
9	handelsblatt.com.292744
10	handelsblatt.com.292744
11	handelsblatt.com.292744
12	handelsblatt.com.292744
13	handelsblatt.com.292744
14	handelsblatt.com.292744
15	handelsblatt.com.292744
16	handelsblatt.com.292744
17	handelsblatt.com.292744
18	handelsblatt.com.292744
19	handelsblatt.com.292744
20	handelsblatt.com.292744
21	handelsblatt.com.292744
22	handelsblatt.com.292744
23	handelsblatt.com.292744
24	handelsblatt.com.292744
25	handelsblatt.com.292744
26	handelsblatt.com.292744
27	handelsblatt.com.292744
1	sz.151465
2	sz.151465
3	sz.151465
4	sz.151465
5	sz.151465
6	sz.151465
7	sz.151465
8	sz.151465
9	sz.151465
10	sz.151465
11	sz.151465
12	sz.151465
13	sz.151465
14	sz.151465
15	sz.151465
16	sz.151465
17	sz.151465
18	sz.151465
19	sz.151465
20	sz.151465
21	sz.151465
22	sz.151465
23	sz.151465
24	sz.151465
25	sz.151465
26	sz.151465
27	sz.151465
28	sz.151465
1	nzz.ch.79514
2	nzz.ch.79514
3	nzz.ch.79514
4	nzz.ch.79514
5	nzz.ch.79514
6	nzz.ch.79514
7	nzz.ch.79514
8	nzz.ch.79514
9	nzz.ch.79514
1	nw-news.de.146744
2	nw-news.de.146744
3	nw-news.de.146744
4	nw-news.de.146744
5	nw-news.de.146744
6	nw-news.de.146744
7	nw-news.de.146744
8	nw-news.de.146744
9	nw-news.de.146744
10	nw-news.de.146744
11	nw-news.de.146744
12	nw-news.de.146744
1	kurier.at.204564
2	kurier.at.204564
3	kurier.at.204564
4	kurier.at.204564
5	kurier.at.204564
6	kurier.at.204564
7	kurier.at.204564
8	kurier.at.204564
9	kurier.at.204564
1	spiegel.126085
2	spiegel.126085
3	spiegel.126085
4	spiegel.126085
5	spiegel.126085
6	spiegel.126085
7	spiegel.126085
8	spiegel.126085
9	spiegel.126085
10	spiegel.126085
11	spiegel.126085
12	spiegel.126085
13	spiegel.126085
14	spiegel.126085
15	spiegel.126085
16	spiegel.126085
17	spiegel.126085
18	spiegel.126085
19	spiegel.126085
1	sz.151402
2	sz.151402
3	sz.151402
4	sz.151402
5	sz.151402
6	sz.151402
7	sz.151402
8	sz.151402
9	sz.151402
10	sz.151402
11	sz.151402
12	sz.151402
13	sz.151402
14	sz.151402
1	handelsblatt.com.292800
2	handelsblatt.com.292800
3	handelsblatt.com.292800
4	handelsblatt.com.292800
5	handelsblatt.com.292800
6	handelsblatt.com.292800
7	handelsblatt.com.292800
8	handelsblatt.com.292800
9	handelsblatt.com.292800
10	handelsblatt.com.292800
11	handelsblatt.com.292800
12	handelsblatt.com.292800
13	handelsblatt.com.292800
14	handelsblatt.com.292800
15	handelsblatt.com.292800
16	handelsblatt.com.292800
1	handelsblatt.com.292720
2	handelsblatt.com.292720
