segment	document
1	standard.co.uk.57834
2	standard.co.uk.57834
3	standard.co.uk.57834
4	standard.co.uk.57834
5	standard.co.uk.57834
6	standard.co.uk.57834
7	standard.co.uk.57834
8	standard.co.uk.57834
9	standard.co.uk.57834
10	standard.co.uk.57834
11	standard.co.uk.57834
12	standard.co.uk.57834
13	standard.co.uk.57834
14	standard.co.uk.57834
15	standard.co.uk.57834
16	standard.co.uk.57834
17	standard.co.uk.57834
18	standard.co.uk.57834
19	standard.co.uk.57834
20	standard.co.uk.57834
21	standard.co.uk.57834
22	standard.co.uk.57834
23	standard.co.uk.57834
24	standard.co.uk.57834
25	standard.co.uk.57834
26	standard.co.uk.57834
27	standard.co.uk.57834
1	guardian.306616
2	guardian.306616
3	guardian.306616
4	guardian.306616
5	guardian.306616
6	guardian.306616
7	guardian.306616
8	guardian.306616
9	guardian.306616
10	guardian.306616
11	guardian.306616
12	guardian.306616
13	guardian.306616
14	guardian.306616
15	guardian.306616
16	guardian.306616
17	guardian.306616
18	guardian.306616
19	guardian.306616
20	guardian.306616
21	guardian.306616
22	guardian.306616
23	guardian.306616
24	guardian.306616
25	guardian.306616
1	upi.228777
2	upi.228777
3	upi.228777
4	upi.228777
5	upi.228777
6	upi.228777
7	upi.228777
8	upi.228777
9	upi.228777
10	upi.228777
11	upi.228777
1	rt.com.131279
2	rt.com.131279
3	rt.com.131279
4	rt.com.131279
5	rt.com.131279
6	rt.com.131279
7	rt.com.131279
8	rt.com.131279
9	rt.com.131279
10	rt.com.131279
11	rt.com.131279
12	rt.com.131279
13	rt.com.131279
1	en.ndtv.com.75106
2	en.ndtv.com.75106
3	en.ndtv.com.75106
4	en.ndtv.com.75106
5	en.ndtv.com.75106
6	en.ndtv.com.75106
7	en.ndtv.com.75106
8	en.ndtv.com.75106
9	en.ndtv.com.75106
10	en.ndtv.com.75106
11	en.ndtv.com.75106
12	en.ndtv.com.75106
13	en.ndtv.com.75106
14	en.ndtv.com.75106
15	en.ndtv.com.75106
16	en.ndtv.com.75106
17	en.ndtv.com.75106
18	en.ndtv.com.75106
19	en.ndtv.com.75106
20	en.ndtv.com.75106
21	en.ndtv.com.75106
1	sky.com.33889
2	sky.com.33889
3	sky.com.33889
4	sky.com.33889
5	sky.com.33889
6	sky.com.33889
7	sky.com.33889
8	sky.com.33889
9	sky.com.33889
10	sky.com.33889
11	sky.com.33889
12	sky.com.33889
13	sky.com.33889
14	sky.com.33889
15	sky.com.33889
16	sky.com.33889
17	sky.com.33889
18	sky.com.33889
19	sky.com.33889
20	sky.com.33889
1	foxnews.106537
2	foxnews.106537
3	foxnews.106537
4	foxnews.106537
5	foxnews.106537
6	foxnews.106537
7	foxnews.106537
8	foxnews.106537
9	foxnews.106537
10	foxnews.106537
11	foxnews.106537
12	foxnews.106537
13	foxnews.106537
14	foxnews.106537
1	express.co.uk.44141
2	express.co.uk.44141
3	express.co.uk.44141
4	express.co.uk.44141
1	egyptindependent.com.6424
2	egyptindependent.com.6424
3	egyptindependent.com.6424
4	egyptindependent.com.6424
5	egyptindependent.com.6424
6	egyptindependent.com.6424
7	egyptindependent.com.6424
8	egyptindependent.com.6424
9	egyptindependent.com.6424
1	rt.com.131224
2	rt.com.131224
3	rt.com.131224
4	rt.com.131224
5	rt.com.131224
6	rt.com.131224
7	rt.com.131224
8	rt.com.131224
9	rt.com.131224
10	rt.com.131224
11	rt.com.131224
12	rt.com.131224
13	rt.com.131224
14	rt.com.131224
15	rt.com.131224
16	rt.com.131224
17	rt.com.131224
18	rt.com.131224
19	rt.com.131224
20	rt.com.131224
21	rt.com.131224
22	rt.com.131224
23	rt.com.131224
24	rt.com.131224
