segment	document
1	nouvelobs.com.133448
2	nouvelobs.com.133448
3	nouvelobs.com.133448
4	nouvelobs.com.133448
5	nouvelobs.com.133448
6	nouvelobs.com.133448
7	nouvelobs.com.133448
8	nouvelobs.com.133448
9	nouvelobs.com.133448
10	nouvelobs.com.133448
11	nouvelobs.com.133448
12	nouvelobs.com.133448
1	lameuse.be.76395
2	lameuse.be.76395
3	lameuse.be.76395
4	lameuse.be.76395
5	lameuse.be.76395
1	aujourdhui_le_maroc-ar.3500
2	aujourdhui_le_maroc-ar.3500
3	aujourdhui_le_maroc-ar.3500
4	aujourdhui_le_maroc-ar.3500
5	aujourdhui_le_maroc-ar.3500
6	aujourdhui_le_maroc-ar.3500
7	aujourdhui_le_maroc-ar.3500
8	aujourdhui_le_maroc-ar.3500
9	aujourdhui_le_maroc-ar.3500
10	aujourdhui_le_maroc-ar.3500
11	aujourdhui_le_maroc-ar.3500
12	aujourdhui_le_maroc-ar.3500
13	aujourdhui_le_maroc-ar.3500
14	aujourdhui_le_maroc-ar.3500
15	aujourdhui_le_maroc-ar.3500
16	aujourdhui_le_maroc-ar.3500
17	aujourdhui_le_maroc-ar.3500
18	aujourdhui_le_maroc-ar.3500
1	rt-french.7910
2	rt-french.7910
3	rt-french.7910
4	rt-french.7910
5	rt-french.7910
6	rt-french.7910
7	rt-french.7910
8	rt-french.7910
9	rt-french.7910
10	rt-french.7910
11	rt-french.7910
1	lefigaro.197942
2	lefigaro.197942
3	lefigaro.197942
4	lefigaro.197942
5	lefigaro.197942
6	lefigaro.197942
1	aujourdhui_le_maroc-ar.3516
2	aujourdhui_le_maroc-ar.3516
3	aujourdhui_le_maroc-ar.3516
4	aujourdhui_le_maroc-ar.3516
5	aujourdhui_le_maroc-ar.3516
6	aujourdhui_le_maroc-ar.3516
7	aujourdhui_le_maroc-ar.3516
8	aujourdhui_le_maroc-ar.3516
9	aujourdhui_le_maroc-ar.3516
10	aujourdhui_le_maroc-ar.3516
11	aujourdhui_le_maroc-ar.3516
12	aujourdhui_le_maroc-ar.3516
13	aujourdhui_le_maroc-ar.3516
14	aujourdhui_le_maroc-ar.3516
15	aujourdhui_le_maroc-ar.3516
16	aujourdhui_le_maroc-ar.3516
1	lemondefr.109983
2	lemondefr.109983
3	lemondefr.109983
4	lemondefr.109983
5	lemondefr.109983
6	lemondefr.109983
7	lemondefr.109983
8	lemondefr.109983
9	lemondefr.109983
10	lemondefr.109983
11	lemondefr.109983
12	lemondefr.109983
13	lemondefr.109983
14	lemondefr.109983
15	lemondefr.109983
1	lefigaro.197912
2	lefigaro.197912
3	lefigaro.197912
4	lefigaro.197912
5	lefigaro.197912
6	lefigaro.197912
7	lefigaro.197912
8	lefigaro.197912
9	lefigaro.197912
10	lefigaro.197912
11	lefigaro.197912
12	lefigaro.197912
13	lefigaro.197912
14	lefigaro.197912
15	lefigaro.197912
16	lefigaro.197912
17	lefigaro.197912
1	lefigaro.197780
2	lefigaro.197780
3	lefigaro.197780
4	lefigaro.197780
5	lefigaro.197780
6	lefigaro.197780
7	lefigaro.197780
8	lefigaro.197780
9	lefigaro.197780
10	lefigaro.197780
11	lefigaro.197780
1	lefigaro.197855
2	lefigaro.197855
3	lefigaro.197855
4	lefigaro.197855
5	lefigaro.197855
6	lefigaro.197855
7	lefigaro.197855
8	lefigaro.197855
9	lefigaro.197855
10	lefigaro.197855
11	lefigaro.197855
12	lefigaro.197855
1	algerie_presse_service-tzm-01.1814
2	algerie_presse_service-tzm-01.1814
3	algerie_presse_service-tzm-01.1814
4	algerie_presse_service-tzm-01.1814
5	algerie_presse_service-tzm-01.1814
6	algerie_presse_service-tzm-01.1814
7	algerie_presse_service-tzm-01.1814
8	algerie_presse_service-tzm-01.1814
9	algerie_presse_service-tzm-01.1814
10	algerie_presse_service-tzm-01.1814
1	rt-french.7909
2	rt-french.7909
3	rt-french.7909
4	rt-french.7909
5	rt-french.7909
6	rt-french.7909
7	rt-french.7909
8	rt-french.7909
9	rt-french.7909
10	rt-french.7909
11	rt-french.7909
12	rt-french.7909
1	nouvelobs.com.133451
2	nouvelobs.com.133451
3	nouvelobs.com.133451
4	nouvelobs.com.133451
5	nouvelobs.com.133451
6	nouvelobs.com.133451
7	nouvelobs.com.133451
8	nouvelobs.com.133451
9	nouvelobs.com.133451
10	nouvelobs.com.133451
11	nouvelobs.com.133451
12	nouvelobs.com.133451
13	nouvelobs.com.133451
14	nouvelobs.com.133451
15	nouvelobs.com.133451
16	nouvelobs.com.133451
17	nouvelobs.com.133451
18	nouvelobs.com.133451
19	nouvelobs.com.133451
1	journalmetro.com.42771
2	journalmetro.com.42771
3	journalmetro.com.42771
4	journalmetro.com.42771
5	journalmetro.com.42771
6	journalmetro.com.42771
7	journalmetro.com.42771
8	journalmetro.com.42771
9	journalmetro.com.42771
10	journalmetro.com.42771
11	journalmetro.com.42771
12	journalmetro.com.42771
13	journalmetro.com.42771
14	journalmetro.com.42771
15	journalmetro.com.42771
16	journalmetro.com.42771
17	journalmetro.com.42771
18	journalmetro.com.42771
19	journalmetro.com.42771
20	journalmetro.com.42771
21	journalmetro.com.42771
22	journalmetro.com.42771
1	croix.158904
2	croix.158904
3	croix.158904
4	croix.158904
5	croix.158904
6	croix.158904
7	croix.158904
8	croix.158904
9	croix.158904
10	croix.158904
11	croix.158904
12	croix.158904
13	croix.158904
14	croix.158904
15	croix.158904
1	lemondefr.110205
2	lemondefr.110205
3	lemondefr.110205
4	lemondefr.110205
5	lemondefr.110205
6	lemondefr.110205
7	lemondefr.110205
8	lemondefr.110205
9	lemondefr.110205
10	lemondefr.110205
11	lemondefr.110205
12	lemondefr.110205
13	lemondefr.110205
14	lemondefr.110205
15	lemondefr.110205
16	lemondefr.110205
17	lemondefr.110205
18	lemondefr.110205
19	lemondefr.110205
20	lemondefr.110205
21	lemondefr.110205
22	lemondefr.110205
23	lemondefr.110205
1	lameuse.be.76388
2	lameuse.be.76388
3	lameuse.be.76388
4	lameuse.be.76388
5	lameuse.be.76388
6	lameuse.be.76388
7	lameuse.be.76388
8	lameuse.be.76388
9	lameuse.be.76388
10	lameuse.be.76388
11	lameuse.be.76388
12	lameuse.be.76388
13	lameuse.be.76388
14	lameuse.be.76388
15	lameuse.be.76388
1	lexpress.to.8268
2	lexpress.to.8268
3	lexpress.to.8268
4	lexpress.to.8268
5	lexpress.to.8268
6	lexpress.to.8268
7	lexpress.to.8268
8	lexpress.to.8268
9	lexpress.to.8268
10	lexpress.to.8268
11	lexpress.to.8268
12	lexpress.to.8268
13	lexpress.to.8268
14	lexpress.to.8268
15	lexpress.to.8268
16	lexpress.to.8268
1	lemondefr.110197
2	lemondefr.110197
3	lemondefr.110197
4	lemondefr.110197
5	lemondefr.110197
6	lemondefr.110197
7	lemondefr.110197
8	lemondefr.110197
1	nouvelobs.com.133625
2	nouvelobs.com.133625
3	nouvelobs.com.133625
4	nouvelobs.com.133625
5	nouvelobs.com.133625
6	nouvelobs.com.133625
7	nouvelobs.com.133625
8	nouvelobs.com.133625
9	nouvelobs.com.133625
10	nouvelobs.com.133625
11	nouvelobs.com.133625
12	nouvelobs.com.133625
1	ledevoir.195546
2	ledevoir.195546
3	ledevoir.195546
4	ledevoir.195546
5	ledevoir.195546
6	ledevoir.195546
7	ledevoir.195546
8	ledevoir.195546
9	ledevoir.195546
10	ledevoir.195546
11	ledevoir.195546
12	ledevoir.195546
13	ledevoir.195546
14	ledevoir.195546
15	ledevoir.195546
1	lexpress.fr.294857
2	lexpress.fr.294857
3	lexpress.fr.294857
4	lexpress.fr.294857
5	lexpress.fr.294857
6	lexpress.fr.294857
7	lexpress.fr.294857
8	lexpress.fr.294857
9	lexpress.fr.294857
10	lexpress.fr.294857
11	lexpress.fr.294857
12	lexpress.fr.294857
13	lexpress.fr.294857
14	lexpress.fr.294857
15	lexpress.fr.294857
16	lexpress.fr.294857
17	lexpress.fr.294857
18	lexpress.fr.294857
19	lexpress.fr.294857
1	lefigaro.197918
2	lefigaro.197918
3	lefigaro.197918
4	lefigaro.197918
5	lefigaro.197918
6	lefigaro.197918
7	lefigaro.197918
8	lefigaro.197918
1	nouvelobs.com.133377
2	nouvelobs.com.133377
3	nouvelobs.com.133377
4	nouvelobs.com.133377
5	nouvelobs.com.133377
6	nouvelobs.com.133377
1	lefigaro.197819
2	lefigaro.197819
3	lefigaro.197819
4	lefigaro.197819
5	lefigaro.197819
6	lefigaro.197819
7	lefigaro.197819
8	lefigaro.197819
9	lefigaro.197819
10	lefigaro.197819
11	lefigaro.197819
1	ledevoir.195498
2	ledevoir.195498
3	ledevoir.195498
4	ledevoir.195498
5	ledevoir.195498
6	ledevoir.195498
7	ledevoir.195498
1	aujourdhui_le_maroc-ar.3512
2	aujourdhui_le_maroc-ar.3512
3	aujourdhui_le_maroc-ar.3512
4	aujourdhui_le_maroc-ar.3512
5	aujourdhui_le_maroc-ar.3512
6	aujourdhui_le_maroc-ar.3512
7	aujourdhui_le_maroc-ar.3512
8	aujourdhui_le_maroc-ar.3512
9	aujourdhui_le_maroc-ar.3512
10	aujourdhui_le_maroc-ar.3512
11	aujourdhui_le_maroc-ar.3512
12	aujourdhui_le_maroc-ar.3512
13	aujourdhui_le_maroc-ar.3512
14	aujourdhui_le_maroc-ar.3512
15	aujourdhui_le_maroc-ar.3512
16	aujourdhui_le_maroc-ar.3512
17	aujourdhui_le_maroc-ar.3512
18	aujourdhui_le_maroc-ar.3512
19	aujourdhui_le_maroc-ar.3512
20	aujourdhui_le_maroc-ar.3512
21	aujourdhui_le_maroc-ar.3512
22	aujourdhui_le_maroc-ar.3512
23	aujourdhui_le_maroc-ar.3512
1	euronews-fr.174089
2	euronews-fr.174089
3	euronews-fr.174089
4	euronews-fr.174089
5	euronews-fr.174089
6	euronews-fr.174089
7	euronews-fr.174089
8	euronews-fr.174089
1	latribune.fr.61438
2	latribune.fr.61438
3	latribune.fr.61438
4	latribune.fr.61438
5	latribune.fr.61438
6	latribune.fr.61438
7	latribune.fr.61438
8	latribune.fr.61438
9	latribune.fr.61438
