segment	document
1	hausa.premiumtimesng.com.3419
2	hausa.premiumtimesng.com.3419
3	hausa.premiumtimesng.com.3419
4	hausa.premiumtimesng.com.3419
5	hausa.premiumtimesng.com.3419
6	hausa.premiumtimesng.com.3419
7	hausa.premiumtimesng.com.3419
8	hausa.premiumtimesng.com.3419
9	hausa.premiumtimesng.com.3419
10	hausa.premiumtimesng.com.3419
11	hausa.premiumtimesng.com.3419
1	freedom_radio-ha.972
2	freedom_radio-ha.972
3	freedom_radio-ha.972
4	freedom_radio-ha.972
5	freedom_radio-ha.972
6	freedom_radio-ha.972
7	freedom_radio-ha.972
8	freedom_radio-ha.972
9	freedom_radio-ha.972
1	hausa.premiumtimesng.com.3715
2	hausa.premiumtimesng.com.3715
3	hausa.premiumtimesng.com.3715
4	hausa.premiumtimesng.com.3715
5	hausa.premiumtimesng.com.3715
6	hausa.premiumtimesng.com.3715
7	hausa.premiumtimesng.com.3715
8	hausa.premiumtimesng.com.3715
9	hausa.premiumtimesng.com.3715
10	hausa.premiumtimesng.com.3715
11	hausa.premiumtimesng.com.3715
12	hausa.premiumtimesng.com.3715
13	hausa.premiumtimesng.com.3715
14	hausa.premiumtimesng.com.3715
15	hausa.premiumtimesng.com.3715
1	hausa.dw.com.2895
2	hausa.dw.com.2895
3	hausa.dw.com.2895
4	hausa.dw.com.2895
1	voa-hausa.8388
2	voa-hausa.8388
3	voa-hausa.8388
4	voa-hausa.8388
5	voa-hausa.8388
6	voa-hausa.8388
7	voa-hausa.8388
1	von-hausa.1137
2	von-hausa.1137
3	von-hausa.1137
4	von-hausa.1137
1	freedom_radio-ha.1214
2	freedom_radio-ha.1214
3	freedom_radio-ha.1214
4	freedom_radio-ha.1214
5	freedom_radio-ha.1214
1	leadership-ha.200
2	leadership-ha.200
3	leadership-ha.200
4	leadership-ha.200
5	leadership-ha.200
6	leadership-ha.200
7	leadership-ha.200
8	leadership-ha.200
9	leadership-ha.200
10	leadership-ha.200
11	leadership-ha.200
12	leadership-ha.200
