segment	document
1	yahoo-ja.978543
2	yahoo-ja.978543
3	yahoo-ja.978543
4	yahoo-ja.978543
5	yahoo-ja.978543
6	yahoo-ja.978543
7	yahoo-ja.978543
8	yahoo-ja.978543
9	yahoo-ja.978543
10	yahoo-ja.978543
11	yahoo-ja.978543
12	yahoo-ja.978543
13	yahoo-ja.978543
14	yahoo-ja.978543
15	yahoo-ja.978543
16	yahoo-ja.978543
17	yahoo-ja.978543
18	yahoo-ja.978543
19	yahoo-ja.978543
20	yahoo-ja.978543
21	yahoo-ja.978543
22	yahoo-ja.978543
23	yahoo-ja.978543
24	yahoo-ja.978543
1	shizuoka_shimbun-ja.45561
2	shizuoka_shimbun-ja.45561
3	shizuoka_shimbun-ja.45561
4	shizuoka_shimbun-ja.45561
5	shizuoka_shimbun-ja.45561
6	shizuoka_shimbun-ja.45561
7	shizuoka_shimbun-ja.45561
8	shizuoka_shimbun-ja.45561
1	yahoo-ja.979575
2	yahoo-ja.979575
3	yahoo-ja.979575
4	yahoo-ja.979575
5	yahoo-ja.979575
6	yahoo-ja.979575
1	yahoo-ja.978595
2	yahoo-ja.978595
3	yahoo-ja.978595
4	yahoo-ja.978595
5	yahoo-ja.978595
1	yaeyama_mainichi_shimbun-ja.883
2	yaeyama_mainichi_shimbun-ja.883
3	yaeyama_mainichi_shimbun-ja.883
4	yaeyama_mainichi_shimbun-ja.883
5	yaeyama_mainichi_shimbun-ja.883
6	yaeyama_mainichi_shimbun-ja.883
7	yaeyama_mainichi_shimbun-ja.883
1	iwate_nippo-ja.5299
2	iwate_nippo-ja.5299
3	iwate_nippo-ja.5299
4	iwate_nippo-ja.5299
5	iwate_nippo-ja.5299
6	iwate_nippo-ja.5299
7	iwate_nippo-ja.5299
1	yahoo-ja.979521
2	yahoo-ja.979521
3	yahoo-ja.979521
4	yahoo-ja.979521
5	yahoo-ja.979521
6	yahoo-ja.979521
7	yahoo-ja.979521
8	yahoo-ja.979521
9	yahoo-ja.979521
10	yahoo-ja.979521
11	yahoo-ja.979521
12	yahoo-ja.979521
13	yahoo-ja.979521
14	yahoo-ja.979521
1	yamagata_shimbun-ja.5037
2	yamagata_shimbun-ja.5037
3	yamagata_shimbun-ja.5037
4	yamagata_shimbun-ja.5037
5	yamagata_shimbun-ja.5037
6	yamagata_shimbun-ja.5037
7	yamagata_shimbun-ja.5037
8	yamagata_shimbun-ja.5037
9	yamagata_shimbun-ja.5037
10	yamagata_shimbun-ja.5037
11	yamagata_shimbun-ja.5037
12	yamagata_shimbun-ja.5037
13	yamagata_shimbun-ja.5037
14	yamagata_shimbun-ja.5037
15	yamagata_shimbun-ja.5037
16	yamagata_shimbun-ja.5037
1	sanyo_shimbun-ja.6180
2	sanyo_shimbun-ja.6180
3	sanyo_shimbun-ja.6180
4	sanyo_shimbun-ja.6180
5	sanyo_shimbun-ja.6180
6	sanyo_shimbun-ja.6180
7	sanyo_shimbun-ja.6180
8	sanyo_shimbun-ja.6180
9	sanyo_shimbun-ja.6180
10	sanyo_shimbun-ja.6180
11	sanyo_shimbun-ja.6180
1	shizuoka_shimbun-ja.45584
2	shizuoka_shimbun-ja.45584
3	shizuoka_shimbun-ja.45584
4	shizuoka_shimbun-ja.45584
5	shizuoka_shimbun-ja.45584
6	shizuoka_shimbun-ja.45584
7	shizuoka_shimbun-ja.45584
8	shizuoka_shimbun-ja.45584
9	shizuoka_shimbun-ja.45584
1	yahoo-ja.978451
2	yahoo-ja.978451
3	yahoo-ja.978451
4	yahoo-ja.978451
5	yahoo-ja.978451
6	yahoo-ja.978451
7	yahoo-ja.978451
1	yahoo-ja.978960
2	yahoo-ja.978960
3	yahoo-ja.978960
4	yahoo-ja.978960
5	yahoo-ja.978960
6	yahoo-ja.978960
7	yahoo-ja.978960
8	yahoo-ja.978960
9	yahoo-ja.978960
10	yahoo-ja.978960
11	yahoo-ja.978960
12	yahoo-ja.978960
1	sanyo_shimbun-ja.6157
2	sanyo_shimbun-ja.6157
3	sanyo_shimbun-ja.6157
4	sanyo_shimbun-ja.6157
5	sanyo_shimbun-ja.6157
6	sanyo_shimbun-ja.6157
7	sanyo_shimbun-ja.6157
8	sanyo_shimbun-ja.6157
9	sanyo_shimbun-ja.6157
1	iwate_nippo-ja.5298
2	iwate_nippo-ja.5298
3	iwate_nippo-ja.5298
4	iwate_nippo-ja.5298
5	iwate_nippo-ja.5298
6	iwate_nippo-ja.5298
7	iwate_nippo-ja.5298
1	yahoo-ja.978309
2	yahoo-ja.978309
3	yahoo-ja.978309
4	yahoo-ja.978309
5	yahoo-ja.978309
6	yahoo-ja.978309
7	yahoo-ja.978309
8	yahoo-ja.978309
9	yahoo-ja.978309
10	yahoo-ja.978309
11	yahoo-ja.978309
12	yahoo-ja.978309
13	yahoo-ja.978309
14	yahoo-ja.978309
15	yahoo-ja.978309
16	yahoo-ja.978309
17	yahoo-ja.978309
18	yahoo-ja.978309
19	yahoo-ja.978309
20	yahoo-ja.978309
21	yahoo-ja.978309
22	yahoo-ja.978309
1	shizuoka_shimbun-ja.45514
2	shizuoka_shimbun-ja.45514
3	shizuoka_shimbun-ja.45514
4	shizuoka_shimbun-ja.45514
5	shizuoka_shimbun-ja.45514
6	shizuoka_shimbun-ja.45514
7	shizuoka_shimbun-ja.45514
8	shizuoka_shimbun-ja.45514
9	shizuoka_shimbun-ja.45514
10	shizuoka_shimbun-ja.45514
11	shizuoka_shimbun-ja.45514
12	shizuoka_shimbun-ja.45514
13	shizuoka_shimbun-ja.45514
14	shizuoka_shimbun-ja.45514
15	shizuoka_shimbun-ja.45514
16	shizuoka_shimbun-ja.45514
17	shizuoka_shimbun-ja.45514
1	yahoo-ja.979259
2	yahoo-ja.979259
3	yahoo-ja.979259
4	yahoo-ja.979259
5	yahoo-ja.979259
6	yahoo-ja.979259
7	yahoo-ja.979259
8	yahoo-ja.979259
9	yahoo-ja.979259
10	yahoo-ja.979259
11	yahoo-ja.979259
12	yahoo-ja.979259
13	yahoo-ja.979259
14	yahoo-ja.979259
15	yahoo-ja.979259
16	yahoo-ja.979259
17	yahoo-ja.979259
18	yahoo-ja.979259
1	shizuoka_shimbun-ja.45506
2	shizuoka_shimbun-ja.45506
3	shizuoka_shimbun-ja.45506
4	shizuoka_shimbun-ja.45506
5	shizuoka_shimbun-ja.45506
6	shizuoka_shimbun-ja.45506
7	shizuoka_shimbun-ja.45506
8	shizuoka_shimbun-ja.45506
9	shizuoka_shimbun-ja.45506
10	shizuoka_shimbun-ja.45506
11	shizuoka_shimbun-ja.45506
12	shizuoka_shimbun-ja.45506
13	shizuoka_shimbun-ja.45506
14	shizuoka_shimbun-ja.45506
15	shizuoka_shimbun-ja.45506
16	shizuoka_shimbun-ja.45506
17	shizuoka_shimbun-ja.45506
18	shizuoka_shimbun-ja.45506
