segment	document
1	kp.235560
2	kp.235560
3	kp.235560
4	kp.235560
5	kp.235560
6	kp.235560
7	kp.235560
8	kp.235560
9	kp.235560
1	aif.321208
2	aif.321208
3	aif.321208
4	aif.321208
5	aif.321208
6	aif.321208
7	aif.321208
1	rus.err.ee.56473
2	rus.err.ee.56473
3	rus.err.ee.56473
4	rus.err.ee.56473
5	rus.err.ee.56473
6	rus.err.ee.56473
7	rus.err.ee.56473
8	rus.err.ee.56473
9	rus.err.ee.56473
10	rus.err.ee.56473
11	rus.err.ee.56473
12	rus.err.ee.56473
13	rus.err.ee.56473
14	rus.err.ee.56473
15	rus.err.ee.56473
16	rus.err.ee.56473
17	rus.err.ee.56473
18	rus.err.ee.56473
19	rus.err.ee.56473
20	rus.err.ee.56473
21	rus.err.ee.56473
22	rus.err.ee.56473
23	rus.err.ee.56473
24	rus.err.ee.56473
25	rus.err.ee.56473
26	rus.err.ee.56473
27	rus.err.ee.56473
28	rus.err.ee.56473
29	rus.err.ee.56473
1	mk.224370
2	mk.224370
3	mk.224370
4	mk.224370
5	mk.224370
6	mk.224370
7	mk.224370
8	mk.224370
9	mk.224370
10	mk.224370
11	mk.224370
12	mk.224370
1	argumenti.ru.186964
2	argumenti.ru.186964
3	argumenti.ru.186964
4	argumenti.ru.186964
5	argumenti.ru.186964
1	sport-express.ru.327609
2	sport-express.ru.327609
3	sport-express.ru.327609
4	sport-express.ru.327609
5	sport-express.ru.327609
6	sport-express.ru.327609
7	sport-express.ru.327609
8	sport-express.ru.327609
9	sport-express.ru.327609
1	vesti.ru.343917
2	vesti.ru.343917
3	vesti.ru.343917
4	vesti.ru.343917
5	vesti.ru.343917
6	vesti.ru.343917
7	vesti.ru.343917
8	vesti.ru.343917
1	interfax.39252
2	interfax.39252
3	interfax.39252
4	interfax.39252
5	interfax.39252
6	interfax.39252
7	interfax.39252
8	interfax.39252
9	interfax.39252
10	interfax.39252
11	interfax.39252
12	interfax.39252
1	rt-russian.73319
2	rt-russian.73319
3	rt-russian.73319
4	rt-russian.73319
5	rt-russian.73319
6	rt-russian.73319
7	rt-russian.73319
1	gazeta.ru.151347
2	gazeta.ru.151347
3	gazeta.ru.151347
4	gazeta.ru.151347
5	gazeta.ru.151347
6	gazeta.ru.151347
7	gazeta.ru.151347
1	xinhua-zh.21324
2	xinhua-zh.21324
3	xinhua-zh.21324
4	xinhua-zh.21324
5	xinhua-zh.21324
6	xinhua-zh.21324
1	gazeta.ru.151338
2	gazeta.ru.151338
3	gazeta.ru.151338
4	gazeta.ru.151338
5	gazeta.ru.151338
6	gazeta.ru.151338
1	mk.224327
2	mk.224327
3	mk.224327
4	mk.224327
5	mk.224327
6	mk.224327
7	mk.224327
8	mk.224327
9	mk.224327
1	vesti.ru.343764
2	vesti.ru.343764
3	vesti.ru.343764
4	vesti.ru.343764
5	vesti.ru.343764
6	vesti.ru.343764
7	vesti.ru.343764
8	vesti.ru.343764
1	argumenti.ru.186949
2	argumenti.ru.186949
3	argumenti.ru.186949
4	argumenti.ru.186949
5	argumenti.ru.186949
6	argumenti.ru.186949
1	aif.321259
2	aif.321259
3	aif.321259
4	aif.321259
5	aif.321259
6	aif.321259
7	aif.321259
8	aif.321259
9	aif.321259
10	aif.321259
11	aif.321259
12	aif.321259
1	kp.235557
2	kp.235557
3	kp.235557
4	kp.235557
5	kp.235557
6	kp.235557
7	kp.235557
8	kp.235557
1	izvestiya.520991
2	izvestiya.520991
3	izvestiya.520991
4	izvestiya.520991
5	izvestiya.520991
6	izvestiya.520991
7	izvestiya.520991
1	sovsport.ru.252342
2	sovsport.ru.252342
3	sovsport.ru.252342
4	sovsport.ru.252342
5	sovsport.ru.252342
1	altyn-orda.kz.7985
2	altyn-orda.kz.7985
3	altyn-orda.kz.7985
4	altyn-orda.kz.7985
5	altyn-orda.kz.7985
6	altyn-orda.kz.7985
7	altyn-orda.kz.7985
1	rusplt.ru.39107
2	rusplt.ru.39107
3	rusplt.ru.39107
4	rusplt.ru.39107
5	rusplt.ru.39107
6	rusplt.ru.39107
7	rusplt.ru.39107
1	sport-express.ru.327625
2	sport-express.ru.327625
3	sport-express.ru.327625
4	sport-express.ru.327625
5	sport-express.ru.327625
6	sport-express.ru.327625
7	sport-express.ru.327625
8	sport-express.ru.327625
1	rg.ru.74095
2	rg.ru.74095
3	rg.ru.74095
4	rg.ru.74095
5	rg.ru.74095
6	rg.ru.74095
7	rg.ru.74095
1	mk.224363
2	mk.224363
3	mk.224363
4	mk.224363
5	mk.224363
1	vesti.ru.343817
2	vesti.ru.343817
3	vesti.ru.343817
4	vesti.ru.343817
5	vesti.ru.343817
6	vesti.ru.343817
7	vesti.ru.343817
8	vesti.ru.343817
9	vesti.ru.343817
10	vesti.ru.343817
11	vesti.ru.343817
12	vesti.ru.343817
13	vesti.ru.343817
1	lenta.ru.344678
2	lenta.ru.344678
3	lenta.ru.344678
4	lenta.ru.344678
5	lenta.ru.344678
6	lenta.ru.344678
7	lenta.ru.344678
8	lenta.ru.344678
9	lenta.ru.344678
10	lenta.ru.344678
11	lenta.ru.344678
12	lenta.ru.344678
13	lenta.ru.344678
14	lenta.ru.344678
15	lenta.ru.344678
16	lenta.ru.344678
1	argumenti.ru.186985
2	argumenti.ru.186985
3	argumenti.ru.186985
4	argumenti.ru.186985
5	argumenti.ru.186985
6	argumenti.ru.186985
7	argumenti.ru.186985
8	argumenti.ru.186985
1	bbc-russian.43692
2	bbc-russian.43692
3	bbc-russian.43692
4	bbc-russian.43692
5	bbc-russian.43692
6	bbc-russian.43692
7	bbc-russian.43692
8	bbc-russian.43692
9	bbc-russian.43692
10	bbc-russian.43692
11	bbc-russian.43692
12	bbc-russian.43692
13	bbc-russian.43692
14	bbc-russian.43692
15	bbc-russian.43692
1	interfax.39240
2	interfax.39240
3	interfax.39240
4	interfax.39240
5	interfax.39240
6	interfax.39240
1	mk.224316
2	mk.224316
3	mk.224316
4	mk.224316
5	mk.224316
6	mk.224316
7	mk.224316
8	mk.224316
1	pnp.ru.112061
2	pnp.ru.112061
3	pnp.ru.112061
4	pnp.ru.112061
5	pnp.ru.112061
1	rg.ru.74104
2	rg.ru.74104
3	rg.ru.74104
4	rg.ru.74104
5	rg.ru.74104
6	rg.ru.74104
7	rg.ru.74104
8	rg.ru.74104
9	rg.ru.74104
10	rg.ru.74104
11	rg.ru.74104
12	rg.ru.74104
13	rg.ru.74104
14	rg.ru.74104
15	rg.ru.74104
16	rg.ru.74104
17	rg.ru.74104
18	rg.ru.74104
19	rg.ru.74104
20	rg.ru.74104
21	rg.ru.74104
22	rg.ru.74104
23	rg.ru.74104
24	rg.ru.74104
1	rus.err.ee.56463
2	rus.err.ee.56463
3	rus.err.ee.56463
4	rus.err.ee.56463
5	rus.err.ee.56463
1	rus.err.ee.56464
2	rus.err.ee.56464
3	rus.err.ee.56464
4	rus.err.ee.56464
5	rus.err.ee.56464
1	interfax.39239
2	interfax.39239
3	interfax.39239
4	interfax.39239
5	interfax.39239
6	interfax.39239
1	lenta.ru.344744
2	lenta.ru.344744
3	lenta.ru.344744
4	lenta.ru.344744
5	lenta.ru.344744
6	lenta.ru.344744
1	rt-russian.73306
2	rt-russian.73306
3	rt-russian.73306
4	rt-russian.73306
5	rt-russian.73306
6	rt-russian.73306
7	rt-russian.73306
1	sport-express.ru.327620
2	sport-express.ru.327620
3	sport-express.ru.327620
4	sport-express.ru.327620
5	sport-express.ru.327620
6	sport-express.ru.327620
7	sport-express.ru.327620
8	sport-express.ru.327620
9	sport-express.ru.327620
10	sport-express.ru.327620
11	sport-express.ru.327620
12	sport-express.ru.327620
13	sport-express.ru.327620
14	sport-express.ru.327620
1	sport-express.ru.327505
2	sport-express.ru.327505
3	sport-express.ru.327505
4	sport-express.ru.327505
5	sport-express.ru.327505
1	rus.err.ee.56472
2	rus.err.ee.56472
3	rus.err.ee.56472
4	rus.err.ee.56472
5	rus.err.ee.56472
6	rus.err.ee.56472
7	rus.err.ee.56472
8	rus.err.ee.56472
9	rus.err.ee.56472
10	rus.err.ee.56472
11	rus.err.ee.56472
12	rus.err.ee.56472
13	rus.err.ee.56472
14	rus.err.ee.56472
15	rus.err.ee.56472
16	rus.err.ee.56472
17	rus.err.ee.56472
18	rus.err.ee.56472
19	rus.err.ee.56472
1	xinhua-zh.21311
2	xinhua-zh.21311
3	xinhua-zh.21311
4	xinhua-zh.21311
5	xinhua-zh.21311
6	xinhua-zh.21311
1	armenpress-ru.8501
2	armenpress-ru.8501
3	armenpress-ru.8501
4	armenpress-ru.8501
1	altapress.ru.77625
2	altapress.ru.77625
3	altapress.ru.77625
4	altapress.ru.77625
5	altapress.ru.77625
6	altapress.ru.77625
7	altapress.ru.77625
8	altapress.ru.77625
9	altapress.ru.77625
10	altapress.ru.77625
1	aif.321296
2	aif.321296
3	aif.321296
4	aif.321296
1	rg.ru.74099
2	rg.ru.74099
3	rg.ru.74099
4	rg.ru.74099
5	rg.ru.74099
1	vesti.ru.343831
2	vesti.ru.343831
3	vesti.ru.343831
4	vesti.ru.343831
5	vesti.ru.343831
6	vesti.ru.343831
7	vesti.ru.343831
8	vesti.ru.343831
9	vesti.ru.343831
10	vesti.ru.343831
11	vesti.ru.343831
12	vesti.ru.343831
13	vesti.ru.343831
14	vesti.ru.343831
15	vesti.ru.343831
16	vesti.ru.343831
17	vesti.ru.343831
18	vesti.ru.343831
19	vesti.ru.343831
20	vesti.ru.343831
1	rus.err.ee.56479
2	rus.err.ee.56479
3	rus.err.ee.56479
4	rus.err.ee.56479
5	rus.err.ee.56479
6	rus.err.ee.56479
7	rus.err.ee.56479
1	pnp.ru.112053
2	pnp.ru.112053
3	pnp.ru.112053
4	pnp.ru.112053
5	pnp.ru.112053
6	pnp.ru.112053
7	pnp.ru.112053
8	pnp.ru.112053
9	pnp.ru.112053
10	pnp.ru.112053
