segment	document
1	xinhua-zh-01.120587
2	xinhua-zh-01.120587
3	xinhua-zh-01.120587
4	xinhua-zh-01.120587
5	xinhua-zh-01.120587
6	xinhua-zh-01.120587
7	xinhua-zh-01.120587
8	xinhua-zh-01.120587
9	xinhua-zh-01.120587
10	xinhua-zh-01.120587
11	xinhua-zh-01.120587
12	xinhua-zh-01.120587
13	xinhua-zh-01.120587
14	xinhua-zh-01.120587
15	xinhua-zh-01.120587
16	xinhua-zh-01.120587
17	xinhua-zh-01.120587
18	xinhua-zh-01.120587
19	xinhua-zh-01.120587
1	xinhua-zh-01.120332
2	xinhua-zh-01.120332
3	xinhua-zh-01.120332
4	xinhua-zh-01.120332
5	xinhua-zh-01.120332
6	xinhua-zh-01.120332
7	xinhua-zh-01.120332
1	chinanews.com.229492
2	chinanews.com.229492
3	chinanews.com.229492
4	chinanews.com.229492
5	chinanews.com.229492
6	chinanews.com.229492
7	chinanews.com.229492
8	chinanews.com.229492
9	chinanews.com.229492
10	chinanews.com.229492
11	chinanews.com.229492
12	chinanews.com.229492
13	chinanews.com.229492
14	chinanews.com.229492
15	chinanews.com.229492
16	chinanews.com.229492
17	chinanews.com.229492
18	chinanews.com.229492
19	chinanews.com.229492
1	xinhua-zh-01.120469
2	xinhua-zh-01.120469
3	xinhua-zh-01.120469
4	xinhua-zh-01.120469
5	xinhua-zh-01.120469
6	xinhua-zh-01.120469
7	xinhua-zh-01.120469
8	xinhua-zh-01.120469
9	xinhua-zh-01.120469
10	xinhua-zh-01.120469
11	xinhua-zh-01.120469
12	xinhua-zh-01.120469
13	xinhua-zh-01.120469
14	xinhua-zh-01.120469
15	xinhua-zh-01.120469
16	xinhua-zh-01.120469
17	xinhua-zh-01.120469
18	xinhua-zh-01.120469
19	xinhua-zh-01.120469
1	xinhua-zh-01.120463
2	xinhua-zh-01.120463
3	xinhua-zh-01.120463
4	xinhua-zh-01.120463
5	xinhua-zh-01.120463
6	xinhua-zh-01.120463
7	xinhua-zh-01.120463
8	xinhua-zh-01.120463
9	xinhua-zh-01.120463
10	xinhua-zh-01.120463
