SYSTEM_ID	BLEU	BLEU_NLTK	METEOR	CHRF++	TER	BERT_PRECISION	BERT_RECALL	BERT_F1	BLEURT
id18	53.98	0.535	0.417	0.690	0.406	0.960	0.957	0.958	0.62
id30	53.54	0.532	0.414	0.688	0.416	0.958	0.955	0.956	0.61
id30_1	52.07	0.518	0.413	0.685	0.444	0.955	0.954	0.954	0.58
id34*	52.67	0.523	0.413	0.686	0.423	0.957	0.955	0.956	0.6
id5	51.74	0.517	0.411	0.679	0.435	0.955	0.954	0.954	0.6
id35*	51.59	0.512	0.409	0.681	0.431	0.956	0.954	0.954	0.59
id23	51.74	0.514	0.403	0.669	0.417	0.959	0.954	0.956	0.61
id2	50.34	0.500	0.398	0.666	0.435	0.954	0.950	0.951	0.57
id15	40.73	0.405	0.393	0.646	0.511	0.940	0.946	0.943	0.45
id28	44.56	0.432	0.387	0.637	0.479	0.949	0.949	0.948	0.54
id12	40.29	0.393	0.386	0.634	0.504	0.944	0.944	0.944	0.45
id11	39.84	0.388	0.384	0.632	0.517	0.943	0.943	0.942	0.43
id4	50.93	0.482	0.384	0.636	0.454	0.952	0.947	0.949	0.54
id26	50.43	0.476	0.382	0.637	0.439	0.955	0.949	0.951	0.57
baseline	40.57	0.396	0.373	0.621	0.517	0.946	0.941	0.943	0.47
id17	39.55	0.387	0.372	0.613	0.536	0.935	0.937	0.935	0.37
id31_2	41.03	0.405	0.367	0.608	0.522	0.936	0.935	0.935	0.39
baseline_2	37.89	0.371	0.364	0.606	0.553	0.933	0.935	0.930	0.42
id21	31.98	0.313	0.350	0.545	0.629	0.920	0.922	0.920	0.4
id13_11	38.37	0.377	0.343	0.584	0.587	0.927	0.922	0.924	0.33
id14	39.12	0.379	0.337	0.579	0.564	0.933	0.927	0.929	0.37
id13	38.2	0.376	0.335	0.571	0.577	0.920	0.920	0.920	0.29
id13_3	39.19	0.387	0.334	0.569	0.565	0.923	0.921	0.922	0.28
id13_4	38.85	0.383	0.332	0.569	0.573	0.922	0.920	0.921	0.3
id13_2	38.01	0.375	0.331	0.565	0.583	0.921	0.919	0.920	0.27
id13_6	37.96	0.374	0.331	0.566	0.580	0.918	0.919	0.918	0.28
id10	22.84	0.217	0.326	0.534	0.696	0.906	0.907	0.906	-0.03
id13_7	36.07	0.356	0.324	0.555	0.599	0.917	0.915	0.916	0.24
id13_8	36.6	0.361	0.322	0.554	0.594	0.918	0.915	0.916	0.25
id20	31.26	0.304	0.316	0.542	0.659	0.924	0.925	0.923	0.31
id26_1	27.5	0.272	0.305	0.519	0.846	0.895	0.907	0.900	0.03
id13_9	28.71	0.280	0.243	0.448	0.689	0.889	0.884	0.886	-0.09
id13_10	30.79	0.278	0.239	0.439	0.677	0.893	0.884	0.888	-0.09
id13_5	23.08	0.230	0.225	0.421	0.743	0.877	0.879	0.877	-0.19
id17_1	24.45	0.240	0.223	0.425	0.739	0.874	0.880	0.876	-0.22
