SYSTEM_ID	BLEU	BLEU_NLTK	METEOR	CHRF++	TER	BERT_PRECISION	BERT_RECALL	BERT_F1	BLEURT
id34*	61.33	0.608	0.436	0.730	0.395	0.964	0.961	0.962	0.61
id35*	61.33	0.608	0.436	0.730	0.395	0.964	0.961	0.962	0.61
id30	61.24	0.607	0.434	0.727	0.393	0.964	0.960	0.962	0.61
id18	60.35	0.596	0.434	0.723	0.404	0.964	0.961	0.962	0.59
id5	61.08	0.611	0.433	0.725	0.391	0.965	0.961	0.963	0.6
id30_1	60.11	0.597	0.432	0.724	0.409	0.963	0.960	0.961	0.59
id13_11	59.32	0.584	0.428	0.712	0.415	0.963	0.957	0.960	0.6
id13	58.81	0.581	0.427	0.713	0.403	0.963	0.958	0.961	0.6
id13_3	58.29	0.578	0.423	0.703	0.408	0.963	0.958	0.960	0.61
id13_2	58.36	0.580	0.422	0.703	0.408	0.963	0.957	0.960	0.61
id2	59.13	0.588	0.422	0.712	0.403	0.964	0.957	0.960	0.58
id13_6	57.49	0.571	0.420	0.702	0.415	0.962	0.957	0.959	0.59
id13_4	58.03	0.578	0.420	0.701	0.401	0.964	0.958	0.961	0.61
id13_7	57.3	0.569	0.417	0.701	0.422	0.961	0.955	0.958	0.58
id13_8	56.94	0.566	0.417	0.701	0.419	0.963	0.956	0.959	0.58
id23	58.26	0.579	0.416	0.699	0.408	0.964	0.958	0.960	0.6
id13_5	57.63	0.576	0.411	0.697	0.423	0.960	0.955	0.957	0.56
id21	56.18	0.550	0.409	0.700	0.430	0.961	0.957	0.958	0.58
id15	46.26	0.452	0.406	0.675	0.523	0.944	0.949	0.946	0.42
id17	49.68	0.482	0.402	0.674	0.504	0.950	0.949	0.949	0.46
id13_9	55.24	0.547	0.401	0.680	0.448	0.955	0.951	0.952	0.56
id13_10	54.78	0.545	0.399	0.676	0.436	0.957	0.951	0.953	0.56
id28	47.36	0.458	0.394	0.654	0.490	0.951	0.950	0.950	0.5
id12	43.66	0.417	0.394	0.652	0.530	0.947	0.949	0.948	0.42
id11	42.4	0.404	0.392	0.651	0.559	0.945	0.947	0.945	0.37
id31_2	52.93	0.521	0.391	0.661	0.457	0.955	0.945	0.949	0.49
baseline	42.95	0.415	0.387	0.650	0.563	0.945	0.942	0.943	0.41
baseline_2	41.15	0.398	0.384	0.642	0.599	0.938	0.938	0.936	0.33
id17_1	51.85	0.512	0.383	0.651	0.464	0.954	0.945	0.949	0.5
id26	60.99	0.518	0.381	0.641	0.432	0.961	0.948	0.954	0.55
id4	60.53	0.522	0.380	0.638	0.458	0.955	0.946	0.950	0.51
id14	51.21	0.495	0.373	0.648	0.478	0.957	0.943	0.949	0.5
id20	45.05	0.406	0.347	0.601	0.576	0.944	0.937	0.940	0.43
id10	26.91	0.247	0.330	0.551	0.714	0.902	0.903	0.902	-0.15
id26_1	38.9	0.380	0.307	0.538	0.763	0.913	0.909	0.910	0.12
