SYSTEM_ID	BLEU	BLEU_NLTK	METEOR	CHRF++	TER	BERT_PRECISION	BERT_RECALL	BERT_F1	BLEURT
id18	49.15	0.491	0.404	0.660	0.413	0.957	0.953	0.954	0.6
id30_1	45.34	0.455	0.398	0.651	0.471	0.949	0.949	0.948	0.55
id30	47.4	0.474	0.397	0.652	0.437	0.953	0.951	0.951	0.57
id34*	46.2	0.463	0.394	0.647	0.444	0.951	0.949	0.950	0.57
id5	43.98	0.441	0.393	0.636	0.470	0.948	0.948	0.947	0.56
id23	45.57	0.454	0.388	0.632	0.438	0.953	0.949	0.950	0.58
id35*	43.84	0.440	0.387	0.637	0.458	0.949	0.947	0.947	0.55
id15	35.85	0.364	0.384	0.617	0.512	0.935	0.942	0.938	0.42
id28	40.87	0.405	0.379	0.615	0.486	0.945	0.946	0.945	0.54
id4	43.82	0.436	0.379	0.618	0.472	0.947	0.944	0.945	0.5
id26	43.07	0.430	0.376	0.618	0.456	0.949	0.945	0.946	0.54
id12	35.86	0.360	0.375	0.606	0.507	0.940	0.939	0.939	0.42
id2	42.24	0.425	0.375	0.617	0.460	0.946	0.942	0.943	0.52
id11	35.3	0.354	0.373	0.604	0.515	0.939	0.938	0.938	0.39
baseline	37.56	0.370	0.357	0.584	0.510	0.944	0.936	0.940	0.44
baseline_2	34.63	0.343	0.347	0.565	0.544	0.930	0.930	0.925	0.39
id17	29.13	0.293	0.345	0.553	0.575	0.922	0.926	0.924	0.23
id31_2	29.39	0.296	0.345	0.553	0.573	0.922	0.926	0.924	0.23
id10	20.67	0.202	0.325	0.523	0.693	0.908	0.909	0.908	0.02
id14	29.46	0.288	0.316	0.526	0.608	0.918	0.917	0.917	0.18
id21	16.2	0.161	0.311	0.435	0.719	0.900	0.905	0.902	0.19
id26_1	21.93	0.220	0.305	0.504	0.886	0.884	0.906	0.893	-0.03
id20	24.17	0.240	0.297	0.498	0.682	0.914	0.918	0.915	0.21
id13_11	23.26	0.229	0.288	0.485	0.680	0.907	0.906	0.906	0.03
id13_4	23.33	0.227	0.276	0.471	0.660	0.899	0.903	0.900	0
id13	22.72	0.222	0.276	0.466	0.662	0.897	0.903	0.899	-0.02
id13_6	23.42	0.228	0.275	0.469	0.656	0.895	0.903	0.898	-0.02
id13_3	24.32	0.240	0.275	0.469	0.643	0.902	0.905	0.902	-0.03
id13_2	22.84	0.224	0.273	0.465	0.664	0.899	0.903	0.900	-0.05
id13_7	21.02	0.205	0.265	0.452	0.672	0.896	0.898	0.896	-0.06
id13_8	21.84	0.214	0.263	0.451	0.666	0.896	0.898	0.896	-0.04
id13_9	11.17	0.107	0.162	0.310	0.777	0.861	0.861	0.860	-0.64
id13_10	12.45	0.109	0.156	0.298	0.759	0.868	0.861	0.864	-0.63
id17_1	7.87	0.078	0.138	0.288	0.851	0.841	0.855	0.847	-0.87
id13_5	7.23	0.073	0.132	0.269	0.860	0.846	0.853	0.849	-0.82
