SYSTEM_ID	BLEU	BLEU_NLTK	METEOR	CHRF++	TER	BERT_PRECISION	BERT_RECALL	BERT_F1	BLEURT
id30	52.37	0.520	0.416	0.694	0.398	0.963	0.960	0.961	0.65
id23	52.76	0.523	0.415	0.691	0.381	0.964	0.961	0.962	0.67
id5	50.75	0.505	0.415	0.687	0.411	0.961	0.959	0.959	0.65
id30_1	50.59	0.504	0.414	0.689	0.427	0.960	0.959	0.959	0.62
id34*	50.27	0.497	0.414	0.689	0.411	0.962	0.961	0.961	0.65
id18	52.25	0.517	0.413	0.691	0.394	0.963	0.960	0.961	0.65
id35*	49.88	0.491	0.411	0.685	0.413	0.962	0.961	0.961	0.65
id2	51.23	0.500	0.406	0.687	0.417	0.960	0.958	0.959	0.63
id4	50.74	0.504	0.405	0.672	0.410	0.958	0.956	0.957	0.61
id26	49.4	0.490	0.398	0.669	0.410	0.961	0.958	0.959	0.64
id11	44.08	0.427	0.395	0.659	0.469	0.949	0.949	0.948	0.52
id12	43.46	0.422	0.395	0.658	0.464	0.950	0.950	0.949	0.53
id15	41.12	0.409	0.391	0.655	0.493	0.947	0.952	0.949	0.52
id28	46.63	0.445	0.390	0.653	0.448	0.956	0.954	0.955	0.6
baseline	40.22	0.393	0.384	0.648	0.476	0.949	0.950	0.949	0.55
id17	42.42	0.411	0.375	0.631	0.487	0.944	0.944	0.944	0.48
id31_2	42.42	0.411	0.375	0.631	0.487	0.944	0.944	0.944	0.48
baseline_2	38.07	0.366	0.367	0.626	0.515	0.933	0.941	0.932	0.50
id21	21.93	0.215	0.340	0.509	0.671	0.914	0.919	0.916	0.42
id13_11	35.77	0.354	0.326	0.565	0.590	0.929	0.913	0.920	0.26
id14	35.34	0.338	0.324	0.569	0.570	0.937	0.929	0.932	0.4
id10	19.4	0.178	0.318	0.523	0.681	0.908	0.907	0.907	-0.01
id13_3	33.97	0.338	0.316	0.543	0.583	0.924	0.913	0.917	0.17
id13	32.69	0.324	0.315	0.542	0.599	0.920	0.910	0.915	0.19
id13_4	34.04	0.340	0.315	0.544	0.586	0.923	0.912	0.917	0.21
id13_2	31.99	0.318	0.312	0.537	0.616	0.919	0.910	0.914	0.16
id13_6	32.33	0.320	0.310	0.535	0.614	0.916	0.908	0.911	0.18
id20	26.04	0.249	0.306	0.533	0.709	0.921	0.924	0.921	0.31
id26_1	25.95	0.253	0.302	0.521	0.857	0.896	0.906	0.900	0.07
id13_7	29.16	0.288	0.301	0.518	0.651	0.913	0.904	0.908	0.1
id13_8	28.83	0.284	0.295	0.509	0.648	0.911	0.902	0.905	0.05
id13_9	12.9	0.113	0.167	0.319	0.792	0.871	0.854	0.862	-0.62
id17_1	10.82	0.108	0.166	0.335	0.825	0.848	0.855	0.851	-0.71
id13_10	11.94	0.097	0.156	0.295	0.788	0.873	0.851	0.861	-0.68
id13_5	9.72	0.096	0.154	0.302	0.877	0.844	0.843	0.843	-0.92 
