SYSTEM_ID	BLEU	BLEU_NLTK	METEOR	CHRF++	TER	BERT_PRECISION	BERT_RECALL	BERT_F1
id6	51.63	0.521	0.676	0.683	0.420	0.909	0.907	0.907
id3	52.93	0.532	0.672	0.677	0.398	0.914	0.905	0.909
id25	46.84	0.468	0.632	0.637	0.456	0.899	0.890	0.893
id37*	45.28	0.451	0.617	0.641	0.452	0.903	0.894	0.898
id27	47.29	0.477	0.616	0.622	0.453	0.897	0.882	0.888
id27_1	46.92	0.473	0.612	0.620	0.461	0.895	0.879	0.886
id32_1	41.52	0.418	0.602	0.610	0.486	0.891	0.883	0.886
id9	43.1	0.430	0.576	0.595	0.487	0.898	0.873	0.884
id38*	41.99	0.417	0.576	0.598	0.517	0.883	0.866	0.874
id25_1	24.87	0.251	0.523	0.537	0.673	0.849	0.855	0.851
baseline_2	25.49	0.256	0.467	0.514	0.665	0.841	0.835	0.837
baseline	23.53	0.237	0.461	0.511	0.680	0.839	0.835	0.836
