System_ID 	MATCH 	MACRO F-1 	MACRO PRECISION 	MACRO RECALL
id19	Exact	0.6892	0.6889	0.6903
id19	Ent_Type	0.7000	0.6993	0.7013
id19	Partial	0.6964	0.6959	0.6977
id19	Strict	0.6864	0.6859	0.6874
id7	Exact	0.6819	0.6698	0.7015
id7	Ent_Type	0.7371	0.7214	0.7620
id7	Partial	0.7135	0.6995	0.7359
id7	Strict	0.6755	0.6635	0.6949
id29	Exact	0.3415	0.3381	0.3492
id29	Ent_Type	0.3427	0.3346	0.3563
id29	Partial	0.3603	0.3546	0.3721
id29	Strict	0.3094	0.3059	0.3154
withdraw	Exact	0.2056	0.2019	0.2113
withdraw	Ent_Type	0.2283	0.2215	0.2387
withdraw	Partial	0.2215	0.2155	0.2309
withdraw	Strict	0.2034	0.1999	0.2085
