System_ID 	MATCH 	MACRO F-1 	MACRO PRECISION 	MACRO RECALL
id19	Exact	0.6582	0.6574	0.6596
id19	Ent_Type	0.6613	0.6604	0.6629
id19	Partial	0.6615	0.6606	0.6632
id19	Strict	0.6554	0.6547	0.6566
id7	Exact	0.5506	0.5399	0.5677
id7	Ent_Type	0.6532	0.6363	0.6793
id7	Partial	0.6093	0.5954	0.6311
id7	Strict	0.5387	0.5281	0.5553
id29	Exact	0.2235	0.2224	0.2271
id29	Ent_Type	0.1954	0.1930	0.2003
id29	Partial	0.2342	0.2326	0.2395
id29	Strict	0.1807	0.1795	0.1834
withdraw	Exact	0.0306	0.0296	0.0327
withdraw	Ent_Type	0.0444	0.0406	0.0506
withdraw	Partial	0.0435	0.0400	0.0498
withdraw	Strict	0.0277	0.0271	0.0286
