System_ID 	MATCH 	MACRO F-1 	MACRO PRECISION 	MACRO RECALL
id19	Exact	0.7457	0.7461	0.7475
id19	Ent_Type	0.7505	0.7497	0.7528
id19	Partial	0.7511	0.7513	0.7532
id19	Strict	0.7397	0.7394	0.7413
id7	Exact	0.6488	0.6175	0.7008
id7	Ent_Type	0.6745	0.6401	0.7312
id7	Partial	0.6638	0.6309	0.7181
id7	Strict	0.6449	0.6135	0.6969
id29	Exact	0.2388	0.2375	0.2473
id29	Ent_Type	0.1847	0.1827	0.1885
id29	Partial	0.2433	0.2418	0.2524
id29	Strict	0.1790	0.1779	0.1815
withdraw	Exact	0.0373	0.0367	0.0382
withdraw	Ent_Type	0.0482	0.0462	0.0513
withdraw	Partial	0.0467	0.0447	0.0500
withdraw	Strict	0.0362	0.0359	0.0367
