Model,	Score,	CoLA,	SST-2,	MRPC-a,MRPC-b,	STS-B-a,STS-B-b,	QQP-a,QQP-b,	MNLI-m,	MNLI-mm,	QNLI,	RTE,	WNLI,	AX
Microsoft Alexander v-team	Turing NLR v5 		                ,91.2,	72.6,	97.6,	93.8,   91.7,	93.7,93.3	,76.4,   91.1,	92.6,	92.4,	97.9,	94.1,	95.9,	57.0
ERNIE Team - Baidu	ERNIE		                                ,91.1,	75.5,	97.8,	93.9,   91.8,	93.0,92.6	,75.2,   90.9,	92.3,	91.7,	97.3,	92.6,	95.9,	51.7
AliceMind & DIRL	StructBERT + CLEVER		                    ,91.0,	75.3,	97.7,	93.9,   91.9,	93.5,93.1	,75.6,   90.8,	91.7,	91.5,	97.4,	92.5,	95.2,	49.1
DIRL Team	DeBERTa + CLEVER		                            ,91.0,	74.2,	97.5,	93.3,   91.0,	93.2,92.9	,76.4,   90.9,	92.1,	91.7,	96.7,	93.1,	96.6,	35.2
DeBERTa Team - Microsoft	DeBERTa / TuringNLRv4		        ,90.8,	71.5,	97.5,	94.0,   92.0,	92.9,92.6	,76.2,   90.8,	91.9,	91.6,	99.2,	93.2,	94.5,	53.2
HFL iFLYTEK	MacALBERT + DKM		                                ,90.7,	74.8,	97.0,	94.5,   92.6,	92.8,92.6	,74.7,   90.6,	91.3,	91.1,	97.8,	92.0,	94.5,	52.6
PING-AN Omni-Sinitic	ALBERT + DAAF + NAS		                ,90.6,	73.5,	97.2,	94.0,   92.0,	93.0,92.4	,76.1,   91.0,	91.6,	91.3,	97.5,	91.7,	94.5,	51.2
T5 Team - Google	T5		                                    ,90.3,	71.6,	97.5,	92.8,   90.4,	93.1,92.8	,75.1,   90.6,	92.2,	91.9,	96.9,	92.8,	94.5,	53.1
Microsoft D365 AI & MSR AI & GATECH	MT-DNN-SMART	            ,89.9,	69.5,	97.5,	93.7,   91.6,	92.9,92.5	,73.9,   90.2,	91.0,	90.8,	99.2,	89.7,	94.5,	50.2
Huawei Noah's Ark Lab	NEZHA-Large		                        ,89.8,	71.7,	97.3,	93.3,   91.0,	92.4,91.9	,75.2,   90.7,	91.5,	91.3,	96.2,	90.3,	94.5,	47.9
Zihang Dai	Funnel-Transformer (Ensemble B10-10-10H1024)		,89.7,	70.5,	97.5,	93.4,   91.2,	92.6,92.3	,75.4,   90.7,	91.4,	91.1,	95.8,	90.0,	94.5,	51.6
ELECTRA Team	ELECTRA-Large + Standard Tricks		            ,89.4,	71.7,	97.1,	93.1,   90.7,	92.9,92.5	,75.6,   90.8,	91.3,	90.8,	95.8,	89.8,	91.8,	50.7
倪仕文	DropAttack+ELECTRA-large		                        ,88.7,	70.4,	95.8,	92.6,   90.1,	91.2,91.1	,75.1,   90.5,	91.1,	90.9,	93.8,	90.1,	91.8,	48.2
Microsoft D365 AI & UMD	FreeLB-RoBERTa (ensemble)	            ,88.4,	68.0,	96.8,	93.1,   90.8,	92.3,92.1	,74.8,   90.3,	91.1,	90.7,	95.6,	88.7,	89.0,	50.1
