Model, Score,	BoolQ,	CB-a,CB-b,	COPA,	MultiRC-a,MultiRC-b,	ReCoRD-a,ReCoRD-b,	RTE,	WiC,	WSC,	AX-b,	AX-g-b ,AX-g-a
"Liam Fedus	-SS-MoE		                                ",91.0,	92.3,	96.9,   98.0,	99.2,	89.2,   65.2	,95.0,   94.2,	93.5,	77.4,	96.6,	72.3,	96.1,    94.1
"Microsoft Alexander v-team	-Turing NLR v5 		        ",90.9,	92.0,	95.9,   97.6,	98.2,	88.4,   63.0	,96.4,   95.9,	94.1,	77.1,	97.3,	67.8,	93.3,    95.5
"ERNIE Team - Baidu	-ERNIE 3.0		                    ",90.6,	91.0,	98.6,   99.2,	97.4,	88.6,   63.2	,94.7,   94.2,	92.6,	77.4,	97.3,	68.6,	92.7,    94.7
"Zirui Wang	-T5 + UDG, Single Model (Google Brain)		",90.4,	91.4,	95.8,   97.6,	98.0,	88.3,   63.0	,94.2,   93.5,	93.0,	77.9,	96.6,	69.1,	92.7,    91.9
"DeBERTa Team - Microsoft	-DeBERTa / TuringNLRv4		",90.3,	90.4,	95.7,   97.6,	98.4,	88.2,   63.7	,94.5,   94.1,	93.2,	77.5,	95.9,	66.7,	93.3,    93.8
"SuperGLUE Human Baselines	-SuperGLUE Human Baselines	",89.8,	89.0,	95.8,   98.9,	100.,	81.8,   51.9	,91.7,   91.3,	93.6,	80.0,	100.0,	76.6,	99.3,    99.7
"T5 Team - Google	-T5		                            ",89.3,	91.2,	93.9,   96.8,	94.8,	88.1,   63.3	,94.1,   93.4,	92.5,	76.9,	93.8,	65.6,	92.7,    91.9
"Huawei Noah's Ark Lab	-NEZHA-Plus		                ",86.7,	87.8,	94.4,   96.0,	93.6,	84.6,   55.1	,90.1,   89.6,	89.1,	74.6,	93.2,	58.0,	87.1,    74.4
"Alibaba PAI&ICBU	-PAI Albert		                    ",86.1,	88.1,	92.4,   96.4,	91.8,	84.6,   54.7	,89.0,   88.3,	88.8,	74.1,	93.2,	75.6,	98.3,    99.2
"Infosys : DAWN : AI Research	-RoBERTa-iCETS		    ",86.0,	88.5,	93.2,   95.2,	91.2,	86.4,   58.2	,89.9,   89.3,	89.9,	72.9,	89.0,	61.8,	88.8,    81.5
