System,Utterance,Bleurt,WordInfoLost,WordErrorRate,TranslationEditRate,MatchErrorRate,ExtendedEditDistance,CharErrorRate,Infolm_fisher_rao,Infolm_linf,Infolm_l2,Infolm_l1,Infolm_ab,Infolm_beta,Infolm_renyi,Infolm_alpha,Infolm_kl,DepthScore,baryscore_W,baryscore_SD_10,baryscore_SD_1,baryscore_SD_5,MoverScore,BERTScore,Chrfpp,BLEU,ROUGE_2,ROUGE_1,ROUGE_L,JS_2,JS_1,ROUGE_WE_2,ROUGE_WE_1
KV-MemNN,0,,1.0,2.799999952316284,,1.0,0.8422392010688782,3.529411792755127,,0.1428409218788147,0.2576676309108734,1.6283278465270996,2.979354858398437,3.641069889068604,1.0354772806167605,2.8801944255828857,4.493835926055908,0.1204902042244894,0.6929304414481678,0.8966528439657138,0.8687222901616649,0.8942262686291862,0.0408560075265549,-0.4324978291988373,-0.0765072405338287,-0.0,,-0.1666666666666666,-0.1666666666666666,0.6931471805599454,0.6931471805599453,-0.0,-0.1666666666666666
KV-MemNN,1,,0.9941520690917968,2.0,,0.9473684430122375,0.7525179982185364,1.2325581312179563,,0.091741681098938,0.1837733834981918,1.6271507740020752,3.2033767700195312,3.1909570693969727,1.010551691055298,2.833903551101685,4.172050476074219,0.1245223379939801,0.6821397985180752,0.8811918162632457,0.859881795108824,0.8793847486435293,0.0753236386332774,-0.4118475615978241,-0.1006288900971412,-0.0,,-0.0,-0.0,0.6931471805599453,0.6931471805599453,-0.0,-0.0
KV-MemNN,2,,1.0,3.0,,1.0,0.706924319267273,1.7105263471603394,,0.152628019452095,0.2990890443325043,1.7013596296310425,2.07623291015625,4.774760723114014,1.224519968032837,3.204473733901977,4.5793328285217285,0.1144271838908587,0.647724751363827,0.8440433924976762,0.8167501155704529,0.8417006122334393,-0.09672335372175,-0.5470355749130249,-0.1574057787656784,-0.0,,-0.0,-0.0,0.6931471805599453,0.6931471805599453,-0.0,-0.0
KV-MemNN,3,,0.9916666746139526,0.9333333373069764,,0.9333333373069764,0.6883977651596069,0.7285714149475098,,0.0547004975378513,0.1533192247152328,1.5052310228347778,2.574848175048828,2.804525852203369,0.7420032024383545,2.276211261749268,3.366306781768799,0.0980890922010163,0.6192734965875916,0.8668929571783717,0.8382589567243748,0.8644462982595378,-0.0326769996388939,-0.4453121721744537,-0.0956610292196273,-0.0,,-0.0769230769230769,-0.0769230769230769,0.6931471805599453,0.6931471805599453,-0.0,-0.0769230769230769
KV-MemNN,4,,0.9558823704719543,0.8235294222831726,,0.8235294222831726,0.6594871878623962,0.7027027010917664,,0.0660386458039283,0.2068149447441101,1.5239765644073486,2.7808876037597656,2.795637607574463,0.8174681663513184,2.4444348812103267,3.926353454589844,0.0959056918649676,0.5024608494236635,0.7836275512971962,0.7585194173329308,0.7814584231070877,-0.1580813430042496,-0.5752491950988771,-0.1704221963882446,-0.0,,-0.2857142857142857,-0.2142857142857142,0.6931471805599452,0.5935564152911266,-0.0,-0.2857142857142857
KV-MemNN,5,,1.0,1.1111111640930176,,1.0,0.709864616394043,0.9722222089767456,,0.1182114109396934,0.2742626070976257,1.7307652235031128,2.766918182373047,3.551308870315552,1.0829471349716189,2.96599555015564,3.9127044677734375,0.1086521456149706,0.5633782395413,0.8130781461636019,0.7825418332758589,0.8103995252319182,-0.1010895802819636,-0.4915368258953095,-0.1131196394562721,-0.0,,-0.1111111111111111,-0.1111111111111111,0.6931471805599453,0.6931471805599453,-0.0,-0.1111111111111111
KV-MemNN,6,,0.9166666865348816,0.75,,0.75,0.6485788226127625,0.6101694703102112,,0.1002600193023681,0.1814949214458465,1.2806745767593384,2.0323143005371094,1.556915283203125,0.6069366931915283,1.95029616355896,2.121991872787476,0.0908488948957952,0.4545618999314124,0.7814087746988956,0.7405665277984248,0.7779315712294659,-0.2217130916484536,-0.5584829449653625,-0.2220391482114792,-0.0,,-0.3333333333333333,-0.3333333333333333,0.6158640031927465,0.4939656500223078,-0.1818181818181818,-0.3333333333333333
KV-MemNN,7,,1.0,2.25,,1.0,0.7750759720802307,1.7179486751556396,,0.0942916721105575,0.1973128914833068,1.6559079885482788,3.1230125427246094,3.219557762145996,1.0551024675369265,2.9160373210906982,3.777232646942138,0.1094621183773797,0.6520836167019459,0.840856350555176,0.8186242616170891,0.8389781646344509,0.0183018613199872,-0.4599057734012604,-0.1262045055627823,-0.0,,-0.1666666666666666,-0.1666666666666666,0.6931471805599453,0.6931471805599452,-0.0,-0.1666666666666666
KV-MemNN,8,,0.975000023841858,0.875,,0.875,0.6959064602851868,0.7538461685180664,,0.0619475319981575,0.1980901509523392,1.5462367534637451,2.150703430175781,2.5708942413330083,0.7230064272880554,2.2323429584503174,2.9257688522338867,0.0912028151815639,0.5285682030684103,0.8122587229595641,0.7865585668399894,0.8099366501340883,-0.1559080536931638,-0.5320485830307007,-0.1235060095787048,-0.0,,-0.2,-0.2,0.6931471805599452,0.6931471805599452,-0.1428571428571428,-0.2
KV-MemNN,9,,0.9930555820465088,2.125,,0.9444444179534912,0.8190045356750488,1.7894736528396606,,0.0993914157152176,0.1652870327234268,1.626888632774353,2.5870361328125,3.677689552307129,0.889051616191864,2.5954430103302,4.055781841278076,0.1231061964882105,0.6833481674183504,0.9054635227330572,0.8796824180621744,0.9033037490863104,0.0126986626238434,-0.4362958371639252,-0.1126882135868072,-0.0,,-0.0,-0.0,0.6931471805599454,0.6931471805599453,-0.0,-0.1428571428571428
KV-MemNN,10,,0.9666666388511658,0.8333333134651184,,0.8333333134651184,0.69838947057724,0.6538461446762085,,0.0725231617689132,0.1858337372541428,1.4751435518264768,2.2611045837402344,2.640009880065918,0.8090358376502991,2.4261069297790527,3.381409168243408,0.1079047975162605,0.5441250200137747,0.8039554312849545,0.7755408743687155,0.8015144602333224,-0.0766569671054643,-0.4951751232147217,-0.0898660272359848,-0.0,,-0.0909090909090909,-0.0909090909090909,0.6931471805599452,0.6931471805599453,-0.0,-0.0909090909090909
KV-MemNN,11,,1.0,1.25,,1.0,0.7142857313156128,0.8666666746139526,,0.1393018960952758,0.272819459438324,1.799153208732605,3.178485870361328,5.25049352645874,1.289230227470398,3.305325984954834,5.555952072143555,0.0979000808213318,0.6539812959727076,0.8423617238780999,0.8238770951631039,0.8408560364611678,0.0036508281507898,-0.4031636416912079,-0.09548881649971,-0.0,,-0.0,-0.0,0.6931471805599452,0.6931471805599453,-0.0,-0.0
KV-MemNN,12,,1.0,1.0,,1.0,0.7005128264427185,0.7605633735656738,,0.0901742205023765,0.2364684641361237,1.730907320976257,3.310565948486328,4.096762657165527,1.1482179164886477,3.0790932178497314,4.821575164794922,0.1048963031485212,0.6232199777741858,0.8560925585110506,0.8339757997464734,0.8542199835006778,-0.0642517953830065,-0.4754711389541626,-0.1170550882816314,-0.0,,-0.0909090909090909,-0.0909090909090909,0.6931471805599452,0.6931471805599453,-0.0,-0.0909090909090909
KV-MemNN,13,,1.0,1.0,,1.0,0.6192660331726074,0.7272727489471436,,0.1242602840065956,0.2572994530200958,1.4987356662750244,2.552196502685547,2.9568428993225098,0.7861807942390442,2.3758437633514404,3.891038417816162,0.1185968736222199,0.396950211102394,0.785830468921071,0.7427369895847887,0.7819519477269232,-0.3826831527150766,-0.6220309138298035,-0.2393748760223389,-0.0,,-0.4285714285714285,-0.2857142857142857,0.6931471805599453,0.3465735902799726,-0.0,-0.4285714285714285
KV-MemNN,14,,0.9965277910232544,1.0625,,0.9444444179534912,0.6686274409294128,0.699999988079071,,0.0598763152956962,0.1798854321241378,1.5079258680343628,3.022968292236328,2.795234680175781,0.8147661685943604,2.4385745525360107,3.7828352451324463,0.0986933271469693,0.5714135714458396,0.8773244258764967,0.8593136926172371,0.875743866925264,-0.0317421371428553,-0.4482322931289673,-0.1339997351169586,-0.0,,-0.2666666666666666,-0.2,0.6931471805599454,0.6931471805599452,-0.0714285714285714,-0.2666666666666666
KV-MemNN,15,,1.0,1.2000000476837158,,1.0,0.6164383292198181,1.0638297796249392,,0.0987172424793243,0.2189851701259613,1.6003941297531128,2.4225730895996094,2.807343006134033,0.9465453624725342,2.7109925746917725,3.084893226623535,0.0913685994509605,0.5418367073111869,0.8182869417631238,0.7891336183915427,0.8158463108027478,-0.1146449312030874,-0.5079400539398193,-0.2395060509443283,-0.0,,-0.25,-0.125,0.6931471805599453,0.5767140492471123,-0.1428571428571428,-0.25
