System,Utterance,Comet_eamt22_cometinho_da,Comet_wmt21_comet_qe_mqm,Comet_wmt20_comet_da,Bleurt,WordInfoLost,WordErrorRate,TranslationEditRate,MatchErrorRate,ExtendedEditDistance,CharErrorRate,Infolm_fisher_rao,Infolm_linf,Infolm_l2,Infolm_l1,Infolm_ab,Infolm_beta,Infolm_renyi,Infolm_alpha,Infolm_kl,DepthScore,baryscore_W,baryscore_SD_10,baryscore_SD_1,baryscore_SD_5,MoverScore,BERTScore,Chrfpp,BLEU,ROUGE_2,ROUGE_1,ROUGE_L,JS_2,JS_1,ROUGE_WE_2,ROUGE_WE_1,Source,ref1,hyp
GTCOM,0,-0.0624188408255577,-0.0724667310714721,0.1167108193039894,0.07509673,0.9968749880790708,0.9499999880790708,0.9499999880790708,0.9499999880790708,0.5879446864128113,0.6202531456947327,0.6677605509757996,0.0293473787605762,0.0383952520787715,0.5154885649681091,0.1784133911132812,0.2306561470031738,0.0566535554826259,0.221867561340332,0.2321479320526123,0.0641660102521029,0.4018150920697355,0.6867532256804305,0.6776136246571702,0.685829351840557,-0.4567112563680215,-0.7226530909538269,-0.2632304430007934,-0.0,-0.0,-0.1,-0.1,0.693147180559945,0.6137675029542523,-0.0,-0.1,"Ama-Guarani bekuyiqembu lomdabu eliphawulekayo elinefa kulokho manje okuthiwa iMpumalanga Paraguay, baphila ngokuba abazingeli futhi bathola ukudla ngokulima.",I Guaraní yayingawona maqela ayebalulekile emveli ehlala apho sithi ngoku kuse Eastern Paraguay ephila ubomi bokuzingela bekwasebenzisa ukulima ukuze baphile.,"AmaGuarani ayeliqela elidumileyo lomthonyama nelazuza ilifa ngoku eyiMpuma Paraguay, baphila ngokuba abazingeli kwaye bafumana ukutya ngokulima."
GTCOM,1,-0.1543681770563125,-0.0650208368897438,-0.5516670346260071,0.29018277,0.9945054650306702,1.0,1.0,0.9285714030265808,0.4980392158031464,0.5251798629760742,0.8012924790382385,0.0391901433467865,0.0603681243956089,0.5638926029205322,0.1792526245117187,0.4087133407592773,0.0858098641037941,0.332427978515625,0.3277853727340698,0.0760378771867012,0.3593473497664227,0.7173171216222942,0.7042821729261869,0.7161548898937089,-0.4057740090395503,-0.7533951401710509,-0.3404731154441833,-0.0,-0.0,-0.0769230769230769,-0.0769230769230769,0.6931471805599452,0.6417833038552658,-0.0,-0.0769230769230769,"Indawo yaseChaco bekuyikhaya lamanye amaqembu wezizwana zemdabu njengamaGuaycurú kanye namaPayaguá, ababephila ngokuzingela, ukubutha kanye nokudoba.","Ummandla weeChaco wawulikhaya kumaqela ezizwe zomthonyama ezifana namaGuaycurú namaPayaguá, ezaziphila ngokuzingela, ngokuvuna nangokuloba.","I-Chaco yayihlala kwamanye amaqela emveli afana neGuaycurú kunye nePayaguá, awayehlala ngokuzingela, ukubutha kunye nokuloba."
GTCOM,2,-0.1485338509082794,-0.0865897685289383,-0.4629483520984649,-0.04431528,0.9785714149475098,0.8571428656578064,0.8571428656578064,0.8571428656578064,0.4543836116790772,0.4917127192020416,0.7864860296249391,0.0238999221473932,0.0416322536766529,0.5340200066566467,0.2476043701171875,0.3812742233276367,0.0788554400205612,0.3062758445739746,0.3633475303649902,0.0658210997764098,0.3559237113062257,0.767806114832793,0.7552978734580913,0.7665868322110205,-0.5197453384189419,-0.7732315063476562,-0.4105075001716614,-0.0,-0.0476190476190476,-0.3181818181818182,-0.2727272727272727,0.6593295161889869,0.4561085907300181,-0.0476190476190476,-0.2727272727272727,"Ngekhulu lama-16 leminyaka iParaguay, ngaphambili eyayibizwa ngokuthi ""Isifundazwe Esikhulukazi sama-Indie"", yaba khona ngenxa yokuhlangana kwabanqobi baseSpeyini namaqembu abantu bomdabu ngokuzalwa.","Kwinkulungwane ye-16th iParaguay, eyayifudula ibizwa nge ""The Giant Province of the Indies"", yasungulwa ngenxa yokuhlaselwa kwabeyisi bamaSpanish kunye namaqela enzalelwane zalapho.","Ngenkulungwane ye-16 iParaguay, ngaphambili eyayibizwa ngokuba yi-""Great Indie Province"", yaba khona ngenxa yokuhlangana kwabanqobi baseSpain kunye namaqela abantu lweenkobe ngokuzalwa."
GTCOM,3,0.1665710210800171,-0.1225629076361656,0.2806411385536194,0.14042269,0.9875000119209292,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.5100261569023132,0.5274725556373596,0.9010136723518372,0.0502364002168178,0.0636871755123138,0.693855881690979,0.2811050415039062,0.4624176025390625,0.1065216362476348,0.4095106124877929,0.4123256206512451,0.0758789683042416,0.3261378335732735,0.695287276868432,0.6755707096642792,0.6936183573748322,-0.5761762997144689,-0.7660518884658813,-0.2888714671134949,-0.0,-0.0,-0.1818181818181818,-0.1818181818181818,0.6931471805599453,0.5461930865833362,-0.0,-0.1818181818181818,AbaseSpeyini baqala isikhathi sobukoloni esathatha amakhulu amathathu eminyaka.,Ama-Spanish aqale ixesha lokuthathela kuwo amanye amazwe elithatha iinkulungwane ezintathu.,I-Spanish yaqala ixesha lobukoloniyali elathatha amakhulu amathathu eminyaka.
GTCOM,4,-0.7275410294532776,-0.1116761416196823,-0.8944616317749023,-0.15328756,0.8632478713989258,1.0,1.0,0.692307710647583,0.2570869922637939,0.4216867387294769,0.6170828938484192,0.0160398725420236,0.032034233212471,0.457789957523346,0.15789794921875,0.1842250823974609,0.0502913556993007,0.1974191665649414,0.1889017224311828,0.0680930568870263,0.2673952307156073,0.7294169372692181,0.7082237411611446,0.727548672190568,-0.6116974153104662,-0.8619282245635986,-0.6349202990531921,-0.0,-0.3333333333333333,-0.5,-0.5,0.5098788096583875,0.4127256526394217,-0.3333333333333333,-0.6,"Kusukela ekusungulweni kwe Asunción ngo-1537, i-Paraguay yakwazi ukugcina isimo sayo sendabuko esikhulu kanye nobukhona bayo.","Ukususela ekusekweni kweAsunción ngo-1537, iParaguay ikwazile ukugcina imveli yayo.","Ukususela ekusungulweni kwe-Asunción kwi-1537, iParaguay ikwazile ukugcina isimo sayo semveli kunye nobukho bayo."
GTCOM,5,-0.1982583254575729,-0.0068340152502059,0.4429560005664825,-0.21769649,0.8024691343307495,0.5555555820465088,0.5,0.5555555820465088,0.2717171609401703,0.227544903755188,0.8341479301452637,0.0491767525672912,0.0806332752108573,0.5469194650650024,0.1280593872070312,0.6225337982177734,0.0804308652877807,0.3122119903564453,0.5080518126487732,0.0774934482331377,0.233684881012282,0.7718736504779891,0.7554637319689371,0.7703330284808902,-0.7416413431007483,-0.8598385453224182,-0.6116562485694885,-0.1718152910470962,-0.3684210526315789,-0.5,-0.5,0.4377771666694389,0.3240129197897664,-0.3684210526315789,-0.5,I-Oyapock River Bridge ibhuloho eliphaswe ngamakhebula ensimbi. Liwelela uMfula i-Oyapock uhlanganisa amadolobha ase-Oiapque eBrazil kanye neSaint-Georges de I'Oyapock eFrench Guiana.,Ibhulorho yoMlambo iOyapock yibhulorho ehlala intambo. Inqumla uMlambo iOyapock ukudibanisa izixeko zaseOiapoque eBrazil naseSaint-Georges de l'Oyapock eFrench Guiana.,Ibhulorho yoMlambo iOyapock yibhulorho enentambo zentsimbi. Ngaphesheya koMlambo iOapock udibanisa iidolophu zaseOiapque eBrazil NaseSaint-Georges de I'Oyaptock eFrench Guiana.
GTCOM,6,0.0969345048069954,-0.0766860097646713,-0.1690112799406051,0.47916496,0.9964285492897034,0.9499999880790708,0.9499999880790708,0.9499999880790708,0.5950506329536438,0.6899224519729614,1.5871123075485232,0.0789022371172905,0.1486127376556396,1.0687954425811768,0.6484298706054688,1.453260898590088,0.3977940976619721,1.375760793685913,1.4193631410598757,0.0710018856244758,0.3776303553875566,0.8112885287751943,0.7911908232277046,0.8094450872388179,-0.4944180765075438,-0.7255841493606567,-0.2873985469341278,-0.0,-0.1,-0.2857142857142857,-0.2857142857142857,0.6180745615958252,0.4863340511567949,-0.1,-0.2857142857142857,"Imibhoshongo emibili iphakama ngamamitha angu-83, ingamamitha angu-378 ubude futhi inemigwaqo emibili engu-3.50 m ububanzi.","Izakhiwo ezide ezibini zenyuka ukuya kuma kubude be 83 meters, iyi 378 meters ubude inendlela ezimbini ezingange 3.50 m ububanzi.","Iinqaba ezimbini ziziimitha ezingama-83 ukuphakama, iimitha ezingama-378 ukuphakama kwaye zineendlela ezimbini ezibanzi ezingama-3.50 m."
GTCOM,7,0.4307171702384949,-0.0696693807840347,-0.4149921834468841,0.0732384,0.9970760345458984,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.4842342436313629,0.5912408828735352,0.7858781814575195,0.0233208276331424,0.0491793863475322,0.5294860005378723,0.2298736572265625,0.3093581199645996,0.0878458991646766,0.3400583267211914,0.301956832408905,0.0661846540240381,0.3689405578438829,0.7399347417544707,0.72640076919223,0.7386089560416801,-0.5317894599587409,-0.7731801867485046,-0.3390762805938721,-0.0,-0.0,-0.2631578947368421,-0.2631578947368421,0.6931471805599452,0.5153845613243266,-0.0,-0.2631578947368421,"Isikhala sokuphakama esisalayo ngaphansi kwebhuloho singamamitha angu-15. Ukulakha kwaphela ngo-Agasti 2011, alivulwanga ukuze kuhambe izimoto kwaze kwaba uMashi 2017.",Ukucaca okuflethi phantsi kwebhoro kuyi 15 meters. Ukwakhiwa kwagqitywa ngo August 2011 zange ivulelwe izithuthi kwade kwango March 2017.,"Ukuphakama okuseleyo okuseleyo phantsi kwebhulorho ziimitha ezili-15. Ulwakhiwo lwagqitywa ngo-Agasti 2011, lwalungavulelwanga ukugcwala kwabantu kude kube ngoMatshi 2017."
GTCOM,8,-0.3170432448387146,-0.0990374162793159,-0.8911647200584412,-0.0063482076,0.7666666507720947,0.5333333611488342,0.5333333611488342,0.5333333611488342,0.3369697034358978,0.2928571403026581,0.7164241671562195,0.0318672768771648,0.054187849164009,0.4726679027080536,0.1381072998046875,0.3461151123046875,0.0653118416666984,0.2549524307250977,0.2979599237442017,0.0562285503496593,0.2449791891892106,0.6448865058680957,0.632853691681125,0.643733549768507,-0.7789515470763679,-0.8696356415748596,-0.5431622862815857,-0.0,-0.1428571428571428,-0.4666666666666667,-0.4666666666666667,0.5904194271505865,0.3400203560262544,-0.1428571428571428,-0.4666666666666667,"Ibhuloho lihlelelwe ukusebenza ngokugcwele ngoSeptemba 2017, lapho izindawo zaseBrazil zokuhlola abangenayo kulindelwe ukuthi ziphele.","Ibhulorho icwangciselwe ukuba isebenze ngokupheleleyo ngoSeptemba 2017, xa iindawo zokukhangela amasiko eBrazil kulindeleke ukuba zigqitywe.","Ibhulorho ihlelelwe ukusebenza ngokupheleleyo ngoSeptemba 2017, apho iindawo zokuhlola zokufudukela eBrazil kulindelwe ukuba ziphele."
GTCOM,9,0.3029848337173462,-0.090407446026802,-1.018319606781006,-0.33397675,0.8717948794364929,0.7692307829856873,0.7692307829856873,0.6666666865348816,0.3608247339725494,0.4065040647983551,0.8229491710662842,0.0331312976777553,0.0672511979937553,0.5652909874916077,0.15557861328125,0.3853602409362793,0.0965363606810569,0.3724980354309082,0.307802140712738,0.0645406452342789,0.2654015141914507,0.6716692455644016,0.6595752673522147,0.6705034475197839,-0.6893149688278983,-0.8519401550292969,-0.551162838935852,-0.0,-0.25,-0.3846153846153846,-0.3846153846153846,0.5329255057698656,0.4257838005207779,-0.25,-0.3846153846153846,"Nakuba izilwane eziningi epaki zijwayele ukubona abantu, izilwane zasendle noma kunjalo aziphucukile futhi akumelwe zondliwe noma ziphazanyiswe.","Nangona izilwanyana ezininzi kwipaki zikuqhelile ukubona abantu, ubomi basendle bobasendle yaye akufunekanga buphazanyiswe.","Nangona izilwanyana ezininzi ezisepakini ziqhele ukubona abantu, izilwanyana zasendle zisaqhelekile kwaye akufuneki zondliwe okanye ziphazanyiswe."
